arm,opcode,before,after,delta
compact_only,S_ADDI_INT,2944344,1895512,-1048832
compact_only,S_ADD_FP,578400,23136,-555264
compact_only,S_LD_VLANE_FP,555264,61696,-493568
compact_only,S_MUL_FP,578400,23136,-555264
compact_only,S_RSQRT_FP,578400,23136,-555264
compact_only,S_ST_VLANE_FP,555264,0,-555264
compact_only,V_STAT_ADD_F,0,38560,38560
compact_only,V_STAT_MUL_F,0,38560,38560
compact_only,V_STAT_RSQRT,0,38560,38560
hoist_only,S_ADDI_INT,2944344,1958232,-986112
overwrite_only,S_LD_FP,1480971,493835,-987136
overwrite_only,V_RED_MAX_SEG,493568,0,-493568
overwrite_only,V_RED_MAX_SEG_OVR,0,493568,493568
overwrite_only,V_RED_SUM_SEG,493568,0,-493568
overwrite_only,V_RED_SUM_SEG_OVR,0,493568,493568
compact_hoist,S_ADDI_INT,2944344,909400,-2034944
compact_hoist,S_ADD_FP,578400,23136,-555264
compact_hoist,S_LD_VLANE_FP,555264,61696,-493568
compact_hoist,S_MUL_FP,578400,23136,-555264
compact_hoist,S_RSQRT_FP,578400,23136,-555264
compact_hoist,S_ST_VLANE_FP,555264,0,-555264
compact_hoist,V_STAT_ADD_F,0,38560,38560
compact_hoist,V_STAT_MUL_F,0,38560,38560
compact_hoist,V_STAT_RSQRT,0,38560,38560
compact_overwrite,S_ADDI_INT,2944344,1895512,-1048832
compact_overwrite,S_ADD_FP,578400,23136,-555264
compact_overwrite,S_LD_FP,1480971,493835,-987136
compact_overwrite,S_LD_VLANE_FP,555264,61696,-493568
compact_overwrite,S_MUL_FP,578400,23136,-555264
compact_overwrite,S_RSQRT_FP,578400,23136,-555264
compact_overwrite,S_ST_VLANE_FP,555264,0,-555264
compact_overwrite,V_RED_MAX_SEG,493568,0,-493568
compact_overwrite,V_RED_MAX_SEG_OVR,0,493568,493568
compact_overwrite,V_RED_SUM_SEG,493568,0,-493568
compact_overwrite,V_RED_SUM_SEG_OVR,0,493568,493568
compact_overwrite,V_STAT_ADD_F,0,38560,38560
compact_overwrite,V_STAT_MUL_F,0,38560,38560
compact_overwrite,V_STAT_RSQRT,0,38560,38560
hoist_overwrite,S_ADDI_INT,2944344,1958232,-986112
hoist_overwrite,S_LD_FP,1480971,493835,-987136
hoist_overwrite,V_RED_MAX_SEG,493568,0,-493568
hoist_overwrite,V_RED_MAX_SEG_OVR,0,493568,493568
hoist_overwrite,V_RED_SUM_SEG,493568,0,-493568
hoist_overwrite,V_RED_SUM_SEG_OVR,0,493568,493568
combined,S_ADDI_INT,2944344,909400,-2034944
combined,S_ADD_FP,578400,23136,-555264
combined,S_LD_FP,1480971,493835,-987136
combined,S_LD_VLANE_FP,555264,61696,-493568
combined,S_MUL_FP,578400,23136,-555264
combined,S_RSQRT_FP,578400,23136,-555264
combined,S_ST_VLANE_FP,555264,0,-555264
combined,V_RED_MAX_SEG,493568,0,-493568
combined,V_RED_MAX_SEG_OVR,0,493568,493568
combined,V_RED_SUM_SEG,493568,0,-493568
combined,V_RED_SUM_SEG_OVR,0,493568,493568
combined,V_STAT_ADD_F,0,38560,38560
combined,V_STAT_MUL_F,0,38560,38560
combined,V_STAT_RSQRT,0,38560,38560
