pe_budget,workload,seq_len,batch_size,mlen,blen,flatten_ratio,matrix_sram_tiles,matrix_sram_depth,matrix_sram_elements,area_mm2,matrix_area_mm2,sram_area_mm2,one_layer_compute_cycles,one_layer_roofline_ms,full_decoder_roofline_s,matrix_cycles,vector_cycles,scalar_cycles,control_cycles,memory_cycles,hbm_read_bytes,hbm_write_bytes,wall_time_sec
262144,long_4096,4096,1,512,512,1.0,32,16384,8388608,102.74903566826904,83.46119351729277,10.05814495872,41423679,42.70525611798724,2.6194529438258733,14288208,12992512,12583329,1559630,1281577,1058349056,34078720,2.5173217160627246
262144,long_4096,4096,1,1024,256,4.0,8,8192,8388608,121.34439378250028,99.14868774503222,10.569067038719998,29393786,30.191590780442926,1.8650732731219357,15105040,7249920,6274341,764485,797805,859668480,68157440,0.7179478900507092
262144,long_4096,4096,1,2048,128,16.0,2,4096,8388608,127.50112635971789,102.23667437565771,11.67651376128,42159690,43.0117871255394,2.6884378103906625,32868248,4702208,4046008,543226,852097,1070333952,136314880,0.317409873008728
524288,long_4096,4096,1,1024,512,2.0,8,8192,8388608,220.60154577395153,189.31267711779319,10.566025758719999,22810548,23.59661924618868,1.443742890861778,8569216,7249920,6248247,743165,786071,859668480,68157440,0.7580173863098025
524288,long_4096,4096,1,2048,256,8.0,2,4096,8388608,237.82448746139312,202.45664982972602,11.67347248128,25119602,25.9587388114335,1.597869528567086,16717080,4702208,3312192,388122,839137,1070333952,136314880,0.19759473856538534
1048576,long_4096,4096,1,1024,1024,1.0,8,8192,8388608,379.666547543503,333.79947986334867,10.566025758719999,19665938,20.4450966863986,1.2424861826118803,5437852,7249920,6240831,737335,779159,859668480,68157440,0.7187945665791631
1048576,long_4096,4096,1,2048,512,4.0,2,4096,8388608,451.4455090611776,396.50399942333013,11.67043120128,17069286,17.900821117756742,1.0826475278230625,8895992,4702208,3122884,348202,831535,1070333952,136314880,0.3038775259628892
262144,long_4097,4097,1,512,512,1.0,32,16384,8388608,102.74903566826904,83.46119351729277,10.05814495872,44153084,45.54694399009154,2.7922059617998385,16633314,13240266,12712635,1566869,1393860,1159872512,38338560,2.9359484864398837
262144,long_4097,4097,1,1024,256,4.0,8,8192,8388608,121.34439378250028,99.14868774503222,10.569067038719998,33280823,34.336053422926696,2.1119406528923963,18570440,7522083,6412239,776061,1055230,1189281792,85196800,0.8633115664124489
262144,long_4097,4097,1,2048,128,16.0,2,4096,8388608,127.50112635971789,102.23667437565771,11.67651376128,59218554,60.45486068575577,3.778025474178535,48383280,5144293,5040338,650643,1236307,1574174720,204472320,0.4849663442000747
524288,long_4097,4097,1,1024,512,2.0,8,8192,8388608,220.60154577395153,189.31267711779319,10.566025758719999,25367715,26.408620613931646,1.6054979325149483,10717732,7522083,6378489,749411,1040906,1189281792,85196800,1.0380098232999444
524288,long_4097,4097,1,2048,256,8.0,2,4096,8388608,237.82448746139312,202.45664982972602,11.67347248128,33692242,34.909359428997696,2.144337629923259,24457040,5144293,3672922,417987,1217117,1574174720,204472320,0.5814663041383028
1048576,long_4097,4097,1,1024,1024,1.0,8,8192,8388608,379.666547543503,333.79947986334867,10.566025758719999,21986495,23.019448789972998,1.3890979366586693,7353335,7522083,6368953,742124,1032954,1189281792,85196800,1.077489985153079
1048576,long_4097,4097,1,2048,512,4.0,2,4096,8388608,451.4455090611776,396.50399942333013,11.67043120128,21814734,23.020582710506968,1.3841745069823996,12989904,5144293,3322430,358107,1205849,1574174720,204472320,0.4023307217285037
262144,long_8192,8192,1,512,512,1.0,32,16384,8388608,102.74903566826904,83.46119351729277,10.05814495872,134176863,136.4113788546173,8.524015314635367,36527776,42762240,48561745,6325102,2234516,1870536704,68157440,8.982023681513965
262144,long_8192,8192,1,1024,256,4.0,8,8192,8388608,121.34439378250028,99.14868774503222,10.569067038719998,83773906,85.46662554832902,5.329283709454378,33525920,22888448,24241545,3117993,1692720,1973649408,136314880,2.36276653688401
262144,long_8192,8192,1,2048,128,16.0,2,4096,8388608,127.50112635971789,102.23667437565771,11.67651376128,97742508,99.40410504077211,6.235963518079843,67391824,13598720,14875718,1876246,1661597,2146172928,272629760,0.8405263070017099
524288,long_8192,8192,1,1024,512,2.0,8,8192,8388608,220.60154577395153,189.31267711779319,10.566025758719999,70663508,72.3329289291251,4.490211918791554,20517760,22888448,24181947,3075353,1669421,1973649408,136314880,2.7830566903576255
524288,long_8192,8192,1,2048,256,8.0,2,4096,8388608,237.82448746139312,202.45664982972602,11.67347248128,62928244,64.56409428733818,4.007845554712257,35066960,13598720,12696526,1566038,1635850,2146172928,272629760,0.7981947818771005
1048576,long_8192,8192,1,1024,1024,1.0,8,8192,8388608,379.666547543503,333.79947986334867,10.566025758719999,64551706,66.20826251637678,4.0990531651261986,14434232,22888448,24165331,3063695,1656557,1973649408,136314880,2.645814378745854
1048576,long_8192,8192,1,2048,512,4.0,2,4096,8388608,451.4455090611776,396.50399942333013,11.67043120128,46657176,48.278128610548066,2.9664938700047565,19431952,13598720,12140306,1486198,1620953,2146172928,272629760,0.848373407498002
262144,short_b16,482,16,512,512,1.0,32,16384,8388608,102.74903566826904,83.46119351729277,10.05814495872,37370867,39.62057027038327,2.3303933906353667,21618976,10923840,4529398,298653,2249703,1870536704,68157440,1.846965340897441
262144,short_b16,482,16,1024,256,4.0,8,8192,8388608,121.34439378250028,99.14868774503222,10.569067038719998,39594390,40.991901017940755,2.5028493054543777,27723200,7895904,3647830,327456,1397511,1496547328,136314880,1.5149157531559467
262144,short_b16,482,16,2048,128,16.0,2,4096,8388608,127.50112635971789,102.23667437565771,11.67651376128,78593072,80.02423277764031,5.011091354079842,64908832,7018784,5982335,683121,1431161,1737228288,272629760,1.2763837231323123
524288,short_b16,482,16,1024,512,2.0,8,8192,8388608,220.60154577395153,189.31267711779319,10.566025758719999,26372888,27.747100398736826,1.6566668587915547,14603936,7895904,3588232,284816,1374212,1496547328,136314880,1.4015686986967921
524288,short_b16,482,16,2048,256,8.0,2,4096,8388608,237.82448746139312,202.45664982972602,11.67347248128,43812600,45.21801402420638,2.785136078712257,32617760,7018784,3803143,372913,1405414,1737228288,272629760,1.4705936731770635
1048576,short_b16,482,16,1024,1024,1.0,8,8192,8388608,379.666547543503,333.79947986334867,10.566025758719999,19947486,21.308833985988507,1.2454377051261982,8206808,7895904,3571616,273158,1361348,1496547328,136314880,1.4313291758298874
1048576,short_b16,482,16,2048,512,4.0,2,4096,8388608,451.4455090611776,396.50399942333013,11.67043120128,27530780,28.92129634741628,1.7430962660047566,16972000,7018784,3246923,293073,1390516,1737228288,272629760,1.4608076270669699
