opcode,legacy_dynamic_count,compact_dynamic_count,dynamic_count_delta,legacy_resource_cycles,compact_resource_cycles,resource_cycle_delta
C_AGU_BIND,504361,496532,-7829,504361,496532,-7829
C_AGU_LOOP_LEN,256949,249186,-7763,256949,249186,-7763
C_LOOP_END,745105,4751,-740354,745105,4751,-740354
C_LOOP_START,740961,607,-740354,740961,607,-740354
C_LOOP_START_AGU,256949,249186,-7763,256949,249186,-7763
C_SET_ADDR_REG,1128,1126,-2,1128,1126,-2
C_SET_SCALE_REG,1000,998,-2,1000,998,-2
C_SET_STRIDE_REG,1000,998,-2,1000,998,-2
C_SET_V_MASK_REG,2064,2080,16,2064,2080,16
H_PREFETCH_M,14657,14657,0,0,0,0
H_PREFETCH_V,8080,7944,-136,0,0,0
H_STORE_V,1024,1024,0,0,0,0
M_BMM_WO,256,256,0,36096,36096,0
M_BTMM,256,256,0,17408,17408,0
M_MM,962560,962560,0,65454080,65454080,0
M_MM_WO,185344,185344,0,26133504,26133504,0
S_ADDI_INT,3692999,1772629,-1920370,3692999,1772629,-1920370
S_ADD_FP,223648,92544,-131104,223648,92544,-131104
S_ADD_INT,500448,500448,0,500448,500448,0
S_EXP_FP,7712,0,-7712,7712,0,-7712
S_LD_FP,1150762,502442,-648320,1150762,502442,-648320
S_LD_VLANE_FP,30848,154240,123392,30848,154240,123392
S_LUI_INT,4036490,3365475,-671015,4036490,3365475,-671015
S_MAP_V_FP,7712,0,-7712,7712,0,-7712
S_MAX_FP,7712,0,-7712,7712,0,-7712
S_MUL_FP,92544,84832,-7712,92544,84832,-7712
S_MV_FP,38563,23139,-15424,38563,23139,-15424
S_RECI_FP,509472,508992,-480,509472,508992,-480
S_RSQRT_FP,23136,23136,0,23136,23136,0
S_ST_FP,4666720,501280,-4165440,4666720,501280,-4165440
S_ST_VLANE_FP,0,61696,61696,0,61696,61696
S_SUB_FP,7712,0,-7712,7712,0,-7712
V_ADD_VF,196608,196608,0,196608,196608,0
V_ADD_VV,2847872,2716288,-131584,2847872,2716288,-131584
V_EXP_V,697888,697888,0,697888,697888,0
V_MUL_VF,2885024,2752960,-132064,2885024,2752960,-132064
V_MUL_VSEG,123392,123392,0,123392,123392,0
V_MUL_VV,1520928,1397536,-123392,1520928,1397536,-123392
V_RECI_V,196608,196608,0,196608,196608,0
V_RED_MAX_OVR,0,7712,7712,0,7712,7712
V_RED_MAX_SEG,7712,0,-7712,7712,0,-7712
V_RED_MAX_SEG_OVR,493568,493568,0,493568,493568,0
V_RED_SUM,308480,185088,-123392,308480,185088,-123392
V_RED_SUM_OVR,0,7712,7712,0,7712,7712
V_RED_SUM_SEG,7712,0,-7712,7712,0,-7712
V_RED_SUM_SEGS,131104,131104,0,131104,131104,0
V_RED_SUM_SEG_OVR,493568,493568,0,493568,493568,0
V_SHIFT_V,524416,524416,0,524416,524416,0
V_STAT_ADD_F,131104,131104,0,131104,131104,0
V_STAT_MUL_F,131104,131104,0,131104,131104,0
V_STAT_RSQRT,131104,131104,0,131104,131104,0
V_SUB_VF,697888,697888,0,697888,697888,0
