sequence_length,mlen,chip_count,local_sequence_length,k_blocks,projection_tiles,policy,duplicate_physical_policy,matrix_sram_tiles,logical_matrix_sram_mb,resident_prefix_blocks,streaming_blocks,requested_residency_fraction,realized_residency_fraction,kv_tile_load_count,streaming_kv_tile_load_count,kv_tile_load_ratio_vs_streaming,kv_tile_load_reduction_pct,kv_cache_hits,peak_live_tiles,tile_utilization,q_tail_rows,tail_isa_limitation
4096,512,1,4096,8,50,streaming,False,2,0.786432,0,8,0.0,0.0,72,72,1.0,0.0,0,2,1.0,0,
4096,512,1,4096,8,50,projection-full,False,50,19.6608,8,0,1.0,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
4096,512,1,4096,8,50,kv-25,True,50,19.6608,8,0,0.25,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
4096,512,1,4096,8,50,kv-50,True,50,19.6608,8,0,0.5,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
4096,512,1,4096,8,50,kv-75,True,50,19.6608,8,0,0.75,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
4096,512,1,4096,8,50,kv-100,True,50,19.6608,8,0,1.0,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
4096,512,2,2048,4,50,streaming,False,2,0.786432,0,4,0.0,0.0,20,20,1.0,0.0,0,2,1.0,0,
4096,512,2,2048,4,50,projection-full,False,50,19.6608,4,0,1.0,1.0,8,20,0.4,60.0,20,8,0.16,0,
4096,512,2,2048,4,50,kv-25,True,50,19.6608,4,0,0.25,1.0,8,20,0.4,60.0,20,8,0.16,0,
4096,512,2,2048,4,50,kv-50,True,50,19.6608,4,0,0.5,1.0,8,20,0.4,60.0,20,8,0.16,0,
4096,512,2,2048,4,50,kv-75,True,50,19.6608,4,0,0.75,1.0,8,20,0.4,60.0,20,8,0.16,0,
4096,512,2,2048,4,50,kv-100,True,50,19.6608,4,0,1.0,1.0,8,20,0.4,60.0,20,8,0.16,0,
4096,512,4,1024,2,50,streaming,False,2,0.786432,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,0,
4096,512,4,1024,2,50,projection-full,False,50,19.6608,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
4096,512,4,1024,2,50,kv-25,True,50,19.6608,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
4096,512,4,1024,2,50,kv-50,True,50,19.6608,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
4096,512,4,1024,2,50,kv-75,True,50,19.6608,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
4096,512,4,1024,2,50,kv-100,True,50,19.6608,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
4096,512,8,512,1,50,streaming,False,2,0.786432,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,0,
4096,512,8,512,1,50,projection-full,False,50,19.6608,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.04,0,
4096,512,8,512,1,50,kv-25,True,50,19.6608,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.04,0,
4096,512,8,512,1,50,kv-50,True,50,19.6608,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.04,0,
4096,512,8,512,1,50,kv-75,True,50,19.6608,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.04,0,
4096,512,8,512,1,50,kv-100,True,50,19.6608,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.04,0,
4096,1024,1,4096,4,25,streaming,False,2,3.145728,0,4,0.0,0.0,20,20,1.0,0.0,0,2,1.0,0,
4096,1024,1,4096,4,25,projection-full,False,25,39.3216,4,0,1.0,1.0,8,20,0.4,60.0,20,8,0.32,0,
4096,1024,1,4096,4,25,kv-25,True,25,39.3216,4,0,0.25,1.0,8,20,0.4,60.0,20,8,0.32,0,
4096,1024,1,4096,4,25,kv-50,True,25,39.3216,4,0,0.5,1.0,8,20,0.4,60.0,20,8,0.32,0,
4096,1024,1,4096,4,25,kv-75,True,25,39.3216,4,0,0.75,1.0,8,20,0.4,60.0,20,8,0.32,0,
4096,1024,1,4096,4,25,kv-100,True,25,39.3216,4,0,1.0,1.0,8,20,0.4,60.0,20,8,0.32,0,
4096,1024,2,2048,2,25,streaming,False,2,3.145728,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,0,
4096,1024,2,2048,2,25,projection-full,False,25,39.3216,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,0,
4096,1024,2,2048,2,25,kv-25,True,25,39.3216,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,0,
4096,1024,2,2048,2,25,kv-50,True,25,39.3216,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,0,
4096,1024,2,2048,2,25,kv-75,True,25,39.3216,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,0,
4096,1024,2,2048,2,25,kv-100,True,25,39.3216,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,0,
4096,1024,4,1024,1,25,streaming,False,2,3.145728,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,0,
4096,1024,4,1024,1,25,projection-full,False,25,39.3216,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.08,0,
