macro,rows,banks,depth,width,bits,area_um2,lef_width_um,lef_height_um,lef_area_um2,area_per_bit_um2,lib_path,lef_path
srambank_128x4x16_6t122,128,4,512,16,8192,414.72,16.0,25.92,414.72,0.050625,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x16_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x16_6t122.lef
srambank_128x4x18_6t122,128,4,512,18,9216,449.28,16.0,28.080000000000002,449.28000000000003,0.048749999999999995,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x18_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x18_6t122.lef
srambank_128x4x20_6t122,128,4,512,20,10240,483.84,16.0,30.240000000000002,483.84000000000003,0.04725,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x20_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x20_6t122.lef
srambank_128x4x32_6t122,128,4,512,32,16384,691.2,16.0,43.2,691.2,0.0421875,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x32_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x32_6t122.lef
srambank_128x4x34_6t122,128,4,512,34,17408,725.76,16.0,45.36,725.76,0.04169117647058823,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x34_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x34_6t122.lef
srambank_128x4x36_6t122,128,4,512,36,18432,760.32,16.0,47.52,760.32,0.04125,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x36_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x36_6t122.lef
srambank_128x4x40_6t122,128,4,512,40,20480,829.44,16.0,51.84,829.44,0.0405,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x40_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x40_6t122.lef
srambank_128x4x48_6t122,128,4,512,48,24576,967.68,16.0,60.480000000000004,967.6800000000001,0.039375,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x48_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x48_6t122.lef
srambank_128x4x64_6t122,128,4,512,64,32768,1244.16,16.0,77.76,1244.16,0.03796875,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x64_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x64_6t122.lef
srambank_128x4x72_6t122,128,4,512,72,36864,1382.4,16.0,86.4,1382.4,0.037500000000000006,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x72_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x72_6t122.lef
srambank_128x4x74_6t122,128,4,512,74,37888,1416.96,16.0,88.56,1416.96,0.03739864864864865,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x74_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x74_6t122.lef
srambank_128x4x80_6t122,128,4,512,80,40960,1520.64,16.0,95.04,1520.64,0.037125000000000005,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_128x4x80_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_128x4x80_6t122.lef
srambank_256x4x16_6t122,256,4,1024,16,16384,786.62016,30.348,25.92,786.62016,0.048011484375,Workspace/external/asap7_sram_0p0/generated/LIB/srambank_256x4x16_6t122.lib,Workspace/external/asap7_sram_0p0/generated/LEF/srambank_256x4x16_6t122.lef
