point_id,precision,MLEN,BLEN,macs,toggle_rate,dynamic_mW,pj_per_mac
pwr-158e22a0bfbe066e,MXFP_E1M2xMXFP_E1M2,32,4,128,0.05,16.6604,0.13016
pwr-158e22a0bfbe066e,MXFP_E1M2xMXFP_E1M2,32,4,128,0.1,32.3396,0.25265
pwr-158e22a0bfbe066e,MXFP_E1M2xMXFP_E1M2,32,4,128,0.25,74.2042,0.57972
pwr-158e22a0bfbe066e,MXFP_E1M2xMXFP_E1M2,32,4,128,0.5,131.934,1.03073
pwr-191216fec37a4a4d,MXFP_E1M2xMXFP_E1M2,16,4,64,0.05,7.983,0.12473
pwr-191216fec37a4a4d,MXFP_E1M2xMXFP_E1M2,16,4,64,0.1,15.4667,0.24167
pwr-191216fec37a4a4d,MXFP_E1M2xMXFP_E1M2,16,4,64,0.25,35.6357,0.55681
pwr-191216fec37a4a4d,MXFP_E1M2xMXFP_E1M2,16,4,64,0.5,63.4624,0.9916
pwr-5a1f57b39f11d1df,MXFP_E5M2xMXFP_E5M2,16,4,64,0.05,8.8223,0.13785
pwr-5a1f57b39f11d1df,MXFP_E5M2xMXFP_E5M2,16,4,64,0.1,17.1766,0.26838
pwr-5a1f57b39f11d1df,MXFP_E5M2xMXFP_E5M2,16,4,64,0.25,39.5886,0.61857
pwr-5a1f57b39f11d1df,MXFP_E5M2xMXFP_E5M2,16,4,64,0.5,70.807,1.10636
pwr-99f7a3063d05cee1,MXFP_E4M3xMXFP_E4M3,16,4,64,0.05,9.0724,0.14176
pwr-99f7a3063d05cee1,MXFP_E4M3xMXFP_E4M3,16,4,64,0.1,17.5356,0.27399
pwr-99f7a3063d05cee1,MXFP_E4M3xMXFP_E4M3,16,4,64,0.25,40.3846,0.63101
pwr-99f7a3063d05cee1,MXFP_E4M3xMXFP_E4M3,16,4,64,0.5,72.0392,1.12561
pwr-ab3f212d6c128448,MXFP_E1M2xMXFP_E1M2,16,8,128,0.05,14.436,0.11278
pwr-ab3f212d6c128448,MXFP_E1M2xMXFP_E1M2,16,8,128,0.1,28.0147,0.21886
pwr-ab3f212d6c128448,MXFP_E1M2xMXFP_E1M2,16,8,128,0.25,64.6806,0.50532
pwr-ab3f212d6c128448,MXFP_E1M2xMXFP_E1M2,16,8,128,0.5,115.6204,0.90328
pwr-bb732acf6b199952,MXFP_E2M1xMXFP_E2M1,16,4,64,0.05,7.7376,0.1209
pwr-bb732acf6b199952,MXFP_E2M1xMXFP_E2M1,16,4,64,0.1,15.0185,0.23466
