point_key,point_id,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,MLEN,VLEN,BLEN,BLOCK_DIM,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,MX_SCALE_WIDTH,HBM_M_Prefetch_Amount,HBM_V_Prefetch_Amount,HBM_V_Writeback_Amount,feat_hbm_ele_width,feat_hbm_scale_width,feat_m_path,feat_v_path,feat_scale_path,feat_addr,feat_load,feat_write,feat_const,preset,_source_csv
hbm_system_913a50805af9,area_new_hbm_baseline,hbm_sys,hbm_sys,complete,0,2497.66,98987.380308,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_913a50805af9,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_913a50805af9/summary.log,,128,128,16,16,MXINT4,MXINT4,MXINT4,8,128,64,64,4096.0,64.0,1024.0,1024.0,128.0,1408.0,13.033595068451708,6.022367813028454,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_35e587828cb0,area_new_hbm_high_m_load,hbm_sys,hbm_sys,complete,3,2480.628,98987.292828,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_35e587828cb0,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_35e587828cb0/summary.log,,128,128,16,16,MXINT4,MXINT4,MXINT4,8,256,64,64,4096.0,64.0,1024.0,1024.0,128.0,1408.0,14.027992362222333,6.022367813028454,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_a6106ad3dd86,area_new_hbm_high_mxint,hbm_sys,hbm_sys,complete,0,3569.167,93043.610258,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_a6106ad3dd86,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_a6106ad3dd86/summary.log,,128,128,16,16,MXINT8,MXINT8,MXINT8,8,128,64,64,4096.0,64.0,2048.0,2048.0,128.0,1408.0,13.033595068451708,6.022367813028454,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_f9b1d8f94877,area_new_hbm_high_v_load_write,hbm_sys,hbm_sys,complete,2,2480.606,98987.103288,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_f9b1d8f94877,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_f9b1d8f94877/summary.log,,128,128,16,16,MXINT4,MXINT4,MXINT4,8,128,128,128,4096.0,64.0,1024.0,1024.0,128.0,1408.0,14.022454510846508,7.011227255423254,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_feedb3bae877,area_new_hbm_low_mxint,hbm_sys,hbm_sys,complete,1,2734.277,103897.136823,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_feedb3bae877,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_feedb3bae877/summary.log,,128,128,16,16,MXINT2,MXINT2,MXINT4,8,128,64,64,4096.0,64.0,768.0,512.0,128.0,1408.0,13.033595068451708,6.022367813028454,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_f9ba4cbb757d,area_new_hbm_mxfp_e4m3,hbm_sys,hbm_sys,complete,1,3633.517,93472.84546,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_f9ba4cbb757d,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_f9ba4cbb757d/summary.log,,128,128,16,16,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,8,128,64,64,4096.0,64.0,2048.0,2048.0,128.0,1408.0,13.033595068451708,6.022367813028454,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_86119fe26635,area_new_hbm_shape256,hbm_sys,hbm_sys,complete,2,7850.583,192077.923418,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_86119fe26635,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_86119fe26635/summary.log,,256,256,32,32,MXINT4,MXINT4,MXINT4,8,256,128,128,8192.0,64.0,2048.0,2048.0,128.0,1536.0,15.016851804617133,7.011227255423254,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_5f0cd720b7c9,area_new_hbm_shape64,hbm_sys,hbm_sys,complete,4,1273.978,52277.843183,,,,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_5f0cd720b7c9,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/reports/hbm_system_5f0cd720b7c9/summary.log,,64,64,16,16,MXINT4,MXINT4,MXINT4,8,64,64,64,2048.0,32.0,512.0,512.0,64.0,1280.0,12.044735626056909,6.022367813028454,1.0,minimal-v1,Workspace/area_new_hbm_calibration/runs/minimal_v1_20260706_072209/calibration_points.csv
hbm_system_93117a3a7c9e,p1_hbm_act_high,hbm_sys,hbm_sys,complete,6,2422.821,100464.348897,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/hbm_system_ffe0947d46edd47f,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/hbm_system_ffe0947d46edd47f/summary.log,,128,128,16,16,MXINT8,MXINT4,MXINT4,8,128,64,64,4096.0,64.0,1024.0,1536.0,128.0,1408.0,13.033595068451708,6.022367813028454,1.0,explicit,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
hbm_system_598e12979198,p1_hbm_high_m_prefetch_512,hbm_sys,hbm_sys,complete,4,2265.283,99004.132727,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/hbm_system_d797bd0db5231c3b,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/hbm_system_d797bd0db5231c3b/summary.log,,128,128,16,16,MXINT4,MXINT4,MXINT4,8,512,64,64,4096.0,64.0,1024.0,1024.0,128.0,1408.0,15.025182828635508,6.022367813028454,1.0,explicit,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
