point_key,point_id,level,mode,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,T_BITS,L_BITS,T_EXP,T_MANT,L_EXP,L_MANT,BLOCK_DIM,ACC_DEPTH,ACC_WIDTH,ACC_FRAC_WIDTH,FP_EXP_WIDTH,FP_MANT_WIDTH,COMPUTE_DIM,SYS_ARRAY_AMOUNT,STRUCTURAL_COMPOSITE,PE_AREA_UM2,raw_synth_area_um2,MLEN,BLEN,scale_width,hier_total_area,hier_compute_unit_area,hier_array_area,hier_reduce_area,hier_output_accumulator_area,hier_output_conversion_area,hier_result_buffer_area,hier_io_pipeline_area,hier_control_area,hier_accum_area,hier_top_glue_area
pe_mxint_d463de27456f,area_new_v4_mxint_pe_t4_l4_acc64,pe,mxint,mxint_default_pe,area_new_v4_mxint_pe_t4_l4_acc64,complete,0,56.189,32.075999,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_d463de27456f,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_d463de27456f/summary.log,,,,,4,4,,,,,,64,,,,,,,,,,,,8,,,,,,,,,,,
pe_mxint_272edd52239a,area_new_v4_mxint_pe_t4_l4_acc256,pe,mxint,mxint_default_pe,area_new_v4_mxint_pe_t4_l4_acc256,complete,1,56.194,34.685819,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_272edd52239a,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_272edd52239a/summary.log,,,,,4,4,,,,,,256,,,,,,,,,,,,8,,,,,,,,,,,
pe_mxint_b3f1c71cfda6,area_new_v4_mxint_pe_t4_l2_acc1024,pe,mxint,mxint_default_pe,area_new_v4_mxint_pe_t4_l2_acc1024,complete,3,56.225,32.877899,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_b3f1c71cfda6,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_b3f1c71cfda6/summary.log,,,,,4,2,,,,,,1024,,,,,,,,,,,,8,,,,,,,,,,,
pe_mxint_e037a212ef30,area_new_v4_mxint_pe_t4_l4_acc1024,pe,mxint,mxint_default_pe,area_new_v4_mxint_pe_t4_l4_acc1024,complete,2,56.325,37.339379,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_e037a212ef30,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_e037a212ef30/summary.log,,,,,4,4,,,,,,1024,,,,,,,,,,,,8,,,,,,,,,,,
pe_mxint_07b7537c436d,area_new_v4_mxint_pe_t8_l8_acc1024,pe,mxint,mxint_default_pe,area_new_v4_mxint_pe_t8_l8_acc1024,complete,0,30.777,59.092739,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_07b7537c436d,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/pe_mxint_07b7537c436d/summary.log,,,,,8,8,,,,,,1024,,,,,,,,,,,,8,,,,,,,,,,,
output_conversion_mxint_620b4ee47a0f,area_new_v4_mxint_acc2fp_t4_l2_a28,output_conversion,mxint,mxint_acc_2_fp,area_new_v4_mxint_acc2fp_t4_l2_a28,complete,0,27.355,76.85118,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/output_conversion_mxint_620b4ee47a0f,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/output_conversion_mxint_620b4ee47a0f/summary.log,,,,,4,2,,,,,,,28,4,5,6,,,,,,,,8,,,,,,,,,,,
output_conversion_mxint_a74e468608bd,area_new_v4_mxint_acc2fp_t8_l8_a40,output_conversion,mxint,mxint_acc_2_fp,area_new_v4_mxint_acc2fp_t8_l8_a40,complete,0,21.401,134.73378,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/output_conversion_mxint_a74e468608bd,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/output_conversion_mxint_a74e468608bd/summary.log,,,,,8,8,,,,,,,40,14,5,6,,,,,,,,8,,,,,,,,,,,
reduce_leaf_mxint_d50f29a8b42f,area_new_v4_mxint_reduce_b4_s4_t4_l4,reduce_leaf,mxint,mxint_sum_across,area_new_v4_mxint_reduce_b4_s4_t4_l4,complete,0,93.943,4163.085679,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/reduce_leaf_mxint_d50f29a8b42f,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/reduce_leaf_mxint_d50f29a8b42f/summary.log,,,,,4,4,,,,,,,12,,,,4,4,,,,,,8,,,,,,,,,,,
reduce_leaf_mxfp_de6b3a926410,area_new_v4_mxfp_reduce_b4_s4_e8m7,reduce_leaf,mxfp,mx_sum_across_sa,area_new_v4_mxfp_reduce_b4_s4_e8m7,complete,0,175.078,7980.654506,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/reduce_leaf_mxfp_de6b3a926410,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/reduce_leaf_mxfp_de6b3a926410/summary.log,,,,,,,4,3,4,3,,,,,8,7,4,4,,,,,,8,,,,,,,,,,,
mini_array_mxfp_ee72d0d61a9e,area_new_v4_mxfp_mini_te5m2_le2m1_b32,mini_array,mxfp,mx_mini_systolic_array,area_new_v4_mxfp_mini_te5m2_le2m1_b32,complete,2,15.159,286446.94378499995,,,,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/mini_array_mxfp_ee72d0d61a9e,Workspace/area_new_matrix_calibration/runs/structural_v4_leaves_20260718/reports/mini_array_mxfp_ee72d0d61a9e/summary.log,,,,,,,5,2,2,1,32,,,,,,,,1,279.615237,120.941097,,,8,,,,,,,,,,,
