mode,point_id,MLEN,BLEN,actual_area_um2,predicted_area_um2,error_pct,actual_array_um2,predicted_array_um2,actual_reduce_um2,predicted_reduce_um2,actual_output_accumulator_um2,predicted_output_accumulator_um2,actual_output_conversion_um2,predicted_output_conversion_um2,actual_result_buffer_um2,predicted_result_buffer_um2,actual_io_pipeline_um2,predicted_io_pipeline_um2,actual_control_um2,predicted_control_um2
mxint,area_new_mm_mxint_t4_l2_m16_b8,16,8,28266.84351,29886.93426036338,5.731417269106262,3660.8484,3776.417028061026,7184.0762,7738.951669882332,9261.216000000011,9267.569817692864,7697.305600000007,8571.449215195998,68.7447,68.5700543478261,86.5468,102.97664356066505,308.10579999997935,360.9998316226708
mxint,area_new_mm_mxint_t4_l4_m16_b8,16,8,29744.920154,31534.681667994304,6.0170325041320485,4339.0809,4396.5838938217,7836.1376,8125.552598042774,9261.216000000011,9267.569817692864,7822.371600000009,9206.37137928459,68.7447,68.5700543478261,97.9775,109.03409318188064,319.3918999999805,360.9998316226708
mxint,area_new_mm_mxint_t8_l4_m16_b8,16,8,36001.212665,34798.13936325615,-3.3417577150490327,5656.194299999999,5604.880505343048,9224.5472,8898.754454363656,9261.216000000011,9267.569817692864,11259.961600000004,10476.215707461775,68.7447,68.5700543478261,120.664,121.14899242431181,409.88489999998274,360.9998316226708
mxint,area_new_mm_mxint_t8_l8_m16_b8,16,8,40901.492288,38672.324098517995,-5.450090118438093,7566.349200000001,7423.904156864396,10627.8139,9671.956310684538,9261.216000000011,9267.569817692864,12801.471999999985,11746.06003563896,68.7447,68.5700543478261,143.3505,133.263891666743,432.5460000000021,360.9998316226708
mxint,area_new_mm_mxint_t8_l8_m32_b4,32,4,24970.013864,24532.68823755117,-1.7514032183992303,7519.7224,7824.2783156434,10723.6774,10316.146971529692,2317.5789999999997,2316.892454423216,3259.3888,3015.880279420814,137.0957,137.1401086956522,297.7235,266.527783333486,714.8271000000022,655.8223245049107
mxint,area_new_mm_mxint_t8_l8_m64_b8,64,8,99371.403028,95662.25046547686,-3.7326156716112906,30260.2501,29695.616627457584,44358.2353,42284.186537339876,9261.216000000011,9267.569817692864,13229.772800000008,12380.982199727554,274.2644,274.2802173913044,572.2942,533.055566666972,1415.3701999999757,1226.5594992006963
mxint,p0_mm_mxint_m16_b4_6436922fb0,16,4,10717.976579,11784.480740691457,9.950611048927698,2168.0459,2397.623666300352,3825.0338,4229.767795994365,2323.8769000000007,2316.892454423216,1957.7154999999996,2301.5928448211475,68.7447,68.5700543478261,103.5762,109.03409318188064,270.98359999999957,360.9998316226708
mxint,p0_mm_mxint_m16_b4_9c86faa709,16,4,9988.028889,11062.04653571498,10.753049061540228,1829.0611000000001,2088.240073420015,3489.4314,3981.5051745415876,2323.8769000000007,2316.892454423216,1925.0272000000002,2142.8623037989996,68.7447,68.5700543478261,92.1455,102.97664356066505,259.74209999999766,360.9998316226708
mxint,p0_mm_mxint_m16_b4_bb0adcdf08,16,4,13007.109455,13215.041310644414,1.598601567579521,2818.6347000000005,3002.0830120610262,4559.8075,4726.293038899919,2323.8914000000004,2316.892454423216,2816.3888,2619.053926865444,68.7447,68.5700543478261,126.2627,121.14899242431181,293.3796999999995,360.9998316226708
mxint,p0_mm_mxint_m16_b4_eb1ad3f258,16,4,13074.979354,13215.041310644414,1.071221245191228,2818.6347000000005,3002.0830120610262,4559.8075,4726.293038899919,2323.8769000000007,2316.892454423216,2816.3888,2619.053926865444,68.7447,68.5700543478261,126.2627,121.14899242431181,361.2641000000003,360.9998316226708
mxint,p0_mm_mxint_m16_b4_fdd3639ce7,16,4,15149.480044,14951.19868059737,-1.308832797077809,3760.1236,3912.1391578217,5261.0034,5222.818281805474,2323.8769000000007,2316.892454423216,3202.4671999999996,2936.51500890974,68.7447,68.5700543478261,148.94920000000002,133.263891666743,384.3149999999987,360.9998316226708
mxint,p0_mm_mxint_m16_b4_feb3c08196,16,4,11436.814309,12326.978305667935,7.7833212345455065,2315.7268000000004,2527.070619180689,4162.6483,4478.030417447142,2323.8769000000007,2316.892454423216,2100.919999999999,2460.323385843296,68.7447,68.5700543478261,114.832,115.09154280309623,350.0656000000017,360.9998316226708
mxint,p1_mm_mxint_w8_m16_b4_01c095b4e4,16,4,13074.979354,13215.041310644414,1.071221245191228,2818.6347000000005,3002.0830120610262,4559.8075,4726.293038899919,2323.8769000000007,2316.892454423216,2816.3888,2619.053926865444,68.7447,68.5700543478261,126.2627,121.14899242431181,361.2641000000003,360.9998316226708
mxint,p1_mm_mxint_w8_m16_b4_26e5e4a8f0,16,4,11436.814309,12326.978305667935,7.7833212345455065,2315.7268000000004,2527.070619180689,4162.6483,4478.030417447142,2323.8769000000007,2316.892454423216,2100.919999999999,2460.323385843296,68.7447,68.5700543478261,114.832,115.09154280309623,350.0656000000017,360.9998316226708
mxint,p1_mm_mxint_w8_m16_b4_46a8060284,16,4,15149.480044,14951.19868059737,-1.308832797077809,3760.1236,3912.1391578217,5261.0034,5222.818281805474,2323.8769000000007,2316.892454423216,3202.4671999999996,2936.51500890974,68.7447,68.5700543478261,148.94920000000002,133.263891666743,384.3149999999987,360.9998316226708
mxint,p1_mm_mxint_w8_m16_b4_47e002b996,16,4,13074.979354,13215.041310644414,1.071221245191228,2818.6347000000005,3002.0830120610262,4559.8075,4726.293038899919,2323.8769000000007,2316.892454423216,2816.3888,2619.053926865444,68.7447,68.5700543478261,126.2627,121.14899242431181,361.2641000000003,360.9998316226708
mxint,p1_mm_mxint_w8_m16_b4_c57aabc897,16,4,15149.480044,14951.19868059737,-1.308832797077809,3760.1236,3912.1391578217,5261.0034,5222.818281805474,2323.8769000000007,2316.892454423216,3202.4671999999996,2936.51500890974,68.7447,68.5700543478261,148.94920000000002,133.263891666743,384.3149999999987,360.9998316226708
mxint,p1_mm_mxint_w8_m16_b4_d3a18ccdfe,16,4,11436.814309,12326.978305667935,7.7833212345455065,2315.7268000000004,2527.070619180689,4162.6483,4478.030417447142,2323.8769000000007,2316.892454423216,2100.919999999999,2460.323385843296,68.7447,68.5700543478261,114.832,115.09154280309623,350.0656000000017,360.9998316226708
mxint,p1_mm_mxint_m32_b16_baseline,32,16,120988.0173,126579.16116187209,4.621237694976331,17692.319300000003,17127.10917772879,32669.9743,33275.41224849198,37044.86400000005,37070.279270771454,32539.604600000075,38095.32984531555,137.0957,137.1401086956522,189.13169999999997,218.06818636376127,715.0276999998605,655.8223245049107
mxint,p1_mm_mxint_m32_b16_high,32,16,165296.87006,155074.42840699715,-6.184292327672184,30703.2195,29229.547349899574,44039.5166,39461.027099059036,37044.89320000005,37070.279270771454,52150.220799999785,48254.084470733025,137.0957,137.1401086956522,280.6941,266.527783333486,941.2302000001655,655.8223245049107
mxint,p0_mm_mxint_m32_b4_378205361b,32,4,21241.353884,21351.286414279548,0.5175401289385523,5637.181900000001,6004.1660241220525,9311.2107,9296.548320308575,2323.8769000000007,2316.892454423216,2910.4015999999997,2698.419197376518,137.0957,137.1401086956522,251.9423,242.29798484862363,669.6447999999946,655.8223245049107
mxint,p0_mm_mxint_m32_b4_3cd2fb03d5,32,4,24977.712103,24532.68823755117,-1.7816838612507695,7519.7224,7824.2783156434,10723.6774,10316.146971529692,2323.8769000000007,2316.892454423216,3260.7871999999993,3015.880279420814,137.0957,137.1401086956522,297.7235,266.527783333486,714.8290000000015,655.8223245049107
mxint,p0_mm_mxint_m32_b4_3d5f6bbdf4,32,4,15806.979709,17481.666239372116,10.594601632964727,3658.0346999999997,4176.48014684003,7141.0798,7767.150343476903,2323.8769000000007,2316.892454423216,1897.3825999999992,2222.2275743100736,137.0957,137.1401086956522,183.4746,205.9532871213301,466.03540000000066,655.8223245049107
mxint,p0_mm_mxint_m32_b4_511b7a2b4a,32,4,19270.691953,19720.61686264374,2.3347626060396602,4631.322400000001,5054.141238361378,8631.0538,8786.748994698019,2323.8769000000007,2316.892454423216,2671.0559999999996,2539.68865635437,137.0957,137.1401086956522,229.25580000000002,230.18308560619246,647.0313999999962,655.8223245049107
mxint,p0_mm_mxint_m32_b4_a288fc4080,32,4,21105.584924,21351.286414279548,1.1641539012745017,5637.181900000001,6004.1660241220525,9311.2107,9296.548320308575,2323.8769000000007,2316.892454423216,2910.4015999999997,2698.419197376518,137.0957,137.1401086956522,251.9423,242.29798484862363,533.875799999998,655.8223245049107
mxint,p0_mm_mxint_m32_b4_c86c9bd253,32,4,17322.031225,18781.078191007928,8.423070868860698,4337.316400000001,4795.247332600704,7793.2432,8276.94966908746,2323.8769000000007,2316.892454423216,2035.6894000000004,2380.958115332222,137.0957,137.1401086956522,206.16109999999998,218.06818636376127,488.6484999999957,655.8223245049107
mxint,p0_mm_mxint_m32_b8_11b369c280,32,8,52279.549172,51707.96543443945,-1.0933218564682612,11311.6304,11209.761010686096,18897.619,19401.697398505232,9317.203199999993,9267.569817692864,11660.268799999994,10793.676789506071,137.0957,137.1401086956522,240.5116,242.29798484862363,715.2205000000249,655.8223245049107
mxint,p0_mm_mxint_m32_b8_260e1223d7,32,8,47846.952206,48167.82831377597,0.6706301926912123,9299.6631,9309.711439164748,17529.0819,18408.646912694123,9286.4128,9267.569817692864,10684.224000000004,10158.75462541748,137.0957,137.1401086956522,217.82510000000002,230.18308560619246,692.649599999997,655.8223245049107
mxint,p0_mm_mxint_m32_b8_3db2e9617a,32,8,52095.25797,51707.96543443945,-0.7434314573959439,11312.475900000001,11209.761010686096,18897.6627,19401.697398505232,9286.4128,9267.569817692864,11641.60640000001,10793.676789506071,137.0957,137.1401086956522,240.5116,242.29798484862363,579.4928999999902,655.8223245049107
