point_key,point_id,level,mode,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,T_BITS,L_BITS,T_EXP,T_MANT,L_EXP,L_MANT,BLOCK_DIM,ACC_DEPTH,MLEN,BLEN,scale_width,hier_total_area,hier_compute_unit_area,hier_reduce_area,hier_accum_area,hier_top_glue_area
mini_array_mxfp_acb05a249fcc,area_new_mxfp_mini_te1m2_le1m2_b16,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te1m2_le1m2_b16,complete,11,6230.239,66919.166563,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_acb05a249fcc,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_acb05a249fcc/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,16,,,,8,,,,,
mini_array_mxfp_eea6671a7353,area_new_mxfp_mini_te1m2_le1m2_b4,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te1m2_le1m2_b4,complete,8,104.294,4188.20701,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_eea6671a7353,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_eea6671a7353/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,4,,,,8,,,,,
mini_array_mxfp_dc96fdc231b5,area_new_mxfp_mini_te1m2_le1m2_b8,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te1m2_le1m2_b8,complete,7,540.653,16738.831241,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_dc96fdc231b5,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_dc96fdc231b5/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,8,,,,8,,,,,
mini_array_mxfp_c906ab34be56,area_new_mxfp_mini_te1m2_le4m3_b16,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te1m2_le4m3_b16,complete,0,8142.25,73633.897993,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_c906ab34be56,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_c906ab34be56/summary.log,,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,,,1,2,4,3,16,,,,8,,,,,
mini_array_mxfp_e2ea999e27e0,area_new_mxfp_mini_te1m2_le4m3_b4,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te1m2_le4m3_b4,complete,3,132.135,4607.877724,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_e2ea999e27e0,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_e2ea999e27e0/summary.log,,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,,,1,2,4,3,4,,,,8,,,,,
mini_array_mxfp_d42ccde648c4,area_new_mxfp_mini_te1m2_le4m3_b8,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te1m2_le4m3_b8,complete,3,676.149,18417.470358,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_d42ccde648c4,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_d42ccde648c4/summary.log,,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,,,1,2,4,3,8,,,,8,,,,,
mini_array_mxfp_3486d2d016d9,area_new_mxfp_mini_te2m1_le2m1_b16,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te2m1_le2m1_b16,complete,4,6414.176,65463.499386,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_3486d2d016d9,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_3486d2d016d9/summary.log,,MXFP_E2M1,MXFP_E2M1,MXFP_E2M1,,,2,1,2,1,16,,,,8,,,,,
mini_array_mxfp_d865ebcb898d,area_new_mxfp_mini_te2m1_le2m1_b4,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te2m1_le2m1_b4,complete,8,878.115,4097.227811,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_d865ebcb898d,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_d865ebcb898d/summary.log,,MXFP_E2M1,MXFP_E2M1,MXFP_E2M1,,,2,1,2,1,4,,,,8,,,,,
mini_array_mxfp_ecd7c3f64484,area_new_mxfp_mini_te2m1_le2m1_b8,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te2m1_le2m1_b8,complete,10,545.389,16374.914446,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_ecd7c3f64484,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_ecd7c3f64484/summary.log,,MXFP_E2M1,MXFP_E2M1,MXFP_E2M1,,,2,1,2,1,8,,,,8,,,,,
mini_array_mxfp_9b3ff69c493e,area_new_mxfp_mini_te2m1_le5m2_b16,mini_array,mxfp,mx_mini_systolic_array,area_new_mxfp_mini_te2m1_le5m2_b16,complete,9,7302.923,71618.358799,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_9b3ff69c493e,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxfp_9b3ff69c493e/summary.log,,MXFP_E5M2,MXFP_E2M1,MXFP_E2M1,,,2,1,5,2,16,,,,8,,,,,
