point_key,point_id,level,mode,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,T_BITS,L_BITS,T_EXP,T_MANT,L_EXP,L_MANT,BLOCK_DIM,ACC_DEPTH,MLEN,BLEN,scale_width,hier_total_area,hier_compute_unit_area,hier_reduce_area,hier_accum_area,hier_top_glue_area
mini_array_mxint_12cb849c8450,area_new_mxint_mini_t4_l2_b16,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l2_b16,complete,1,139.433,7488.462797,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_12cb849c8450,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_12cb849c8450/summary.log,,,,,4,2,,,,,16,16,,,8,,,,,
mini_array_mxint_f2c7cd1ef2d4,area_new_mxint_mini_t4_l2_b32,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l2_b32,complete,2,775.931,28186.201208,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_f2c7cd1ef2d4,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_f2c7cd1ef2d4/summary.log,,,,,4,2,,,,,32,16,,,8,,,,,
mini_array_mxint_ba8380d9edb1,area_new_mxint_mini_t4_l2_b4,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l2_b4,complete,3,26.145,636.504464,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_ba8380d9edb1,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_ba8380d9edb1/summary.log,,,,,4,2,,,,,4,16,,,8,,,,,
mini_array_mxint_a0884d8af8c3,area_new_mxint_mini_t4_l2_b8,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l2_b8,complete,0,47.352,2097.187152,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_a0884d8af8c3,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_a0884d8af8c3/summary.log,,,,,4,2,,,,,8,16,,,8,,,,,
mini_array_mxint_8945f3da11d5,area_new_mxint_mini_t4_l4_b16,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l4_b16,complete,3,161.265,8844.286129,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_8945f3da11d5,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_8945f3da11d5/summary.log,,,,,4,4,,,,,16,16,,,8,,,,,
mini_array_mxint_27b6dbcc4bb7,area_new_mxint_mini_t4_l4_b32,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l4_b32,complete,4,893.239,33157.86447,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_27b6dbcc4bb7,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_27b6dbcc4bb7/summary.log,,,,,4,4,,,,,32,16,,,8,,,,,
mini_array_mxint_a3088786f1b3,area_new_mxint_mini_t4_l4_b4,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l4_b4,complete,4,26.988,764.108621,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_a3088786f1b3,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_a3088786f1b3/summary.log,,,,,4,4,,,,,4,16,,,8,,,,,
mini_array_mxint_bc366b195034,area_new_mxint_mini_t4_l4_b8,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l4_b8,complete,5,49.922,2493.296583,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_bc366b195034,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_bc366b195034/summary.log,,,,,4,4,,,,,8,16,,,8,,,,,
mini_array_mxint_61c6233c0a14,area_new_mxint_mini_t4_l8_b16,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l8_b16,complete,0,196.14,11484.082551,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_61c6233c0a14,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_61c6233c0a14/summary.log,,,,,4,8,,,,,16,16,,,8,,,,,
mini_array_mxint_424df296ebd0,area_new_mxint_mini_t4_l8_b32,mini_array,mxint,mxint_mini_systolic_array,area_new_mxint_mini_t4_l8_b32,complete,0,2588.414,42815.656274,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_424df296ebd0,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/mini_array_mxint_424df296ebd0/summary.log,,,,,4,8,,,,,32,16,,,8,,,,,
