point_key,point_id,level,mode,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,T_BITS,L_BITS,T_EXP,T_MANT,L_EXP,L_MANT,BLOCK_DIM,ACC_DEPTH,MLEN,BLEN,scale_width,hier_total_area,hier_compute_unit_area,hier_reduce_area,hier_accum_area,hier_top_glue_area
pe_mxfp_e0b8e602aad7,area_new_mxfp_pe_te1m2_le1m2,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te1m2_le1m2,complete,6,73.737,261.259017,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_e0b8e602aad7,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_e0b8e602aad7/summary.log,,,,,,,1,2,1,2,,,,,8,,,,,
pe_mxfp_e46103385358,area_new_mxfp_pe_te1m2_le2m1,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te1m2_le2m1,complete,7,73.889,264.349977,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_e46103385358,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_e46103385358/summary.log,,,,,,,1,2,2,1,,,,,8,,,,,
pe_mxfp_58d731dc7e0c,area_new_mxfp_pe_te1m2_le4m3,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te1m2_le4m3,complete,8,155.557,287.488437,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_58d731dc7e0c,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_58d731dc7e0c/summary.log,,,,,,,1,2,4,3,,,,,8,,,,,
pe_mxfp_3954804d6d19,area_new_mxfp_pe_te1m2_le5m2,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te1m2_le5m2,complete,9,29.248,283.362296,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_3954804d6d19,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_3954804d6d19/summary.log,,,,,,,1,2,5,2,,,,,8,,,,,
pe_mxfp_b6f2ca6860a1,area_new_mxfp_pe_te2m1_le1m2,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te2m1_le1m2,complete,8,73.839,264.349977,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_b6f2ca6860a1,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_b6f2ca6860a1/summary.log,,,,,,,2,1,1,2,,,,,8,,,,,
pe_mxfp_e76e4490812c,area_new_mxfp_pe_te2m1_le2m1,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te2m1_le2m1,complete,11,154.706,255.572817,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_e76e4490812c,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_e76e4490812c/summary.log,,,,,,,2,1,2,1,,,,,8,,,,,
pe_mxfp_3f795c665a2c,area_new_mxfp_pe_te2m1_le4m3,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te2m1_le4m3,complete,7,26.651,281.773077,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_3f795c665a2c,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_3f795c665a2c/summary.log,,,,,,,2,1,4,3,,,,,8,,,,,
pe_mxfp_462b2b3fcf6a,area_new_mxfp_pe_te2m1_le5m2,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te2m1_le5m2,complete,9,26.572,279.615237,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_462b2b3fcf6a,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_462b2b3fcf6a/summary.log,,,,,,,2,1,5,2,,,,,8,,,,,
pe_mxfp_359d5bfc2946,area_new_mxfp_pe_te2m2_le1m2,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te2m2_le1m2,complete,9,15353.408,268.840617,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_359d5bfc2946,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_359d5bfc2946/summary.log,,,,,,,2,2,1,2,,,,,8,,,,,
pe_mxfp_a0adc8e80cb5,area_new_mxfp_pe_te2m2_le2m1,pe,mxfp,mxfp_default_pe,area_new_mxfp_pe_te2m2_le2m1,complete,10,453.584,265.283097,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_a0adc8e80cb5,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/pe_mxfp_a0adc8e80cb5/summary.log,,,,,,,2,2,2,1,,,,,8,,,,,
