point_key,point_id,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,MLEN,VLEN,INT_DATA_WIDTH,FP_SETTING,S_FP_EXP_WIDTH,S_FP_MANT_WIDTH,fp_width,feat_int_mul,feat_int_lin,feat_fp_quad,feat_fp_lin,feat_fp_exp,feat_mlen_buffer,feat_vlen_output,feat_vector_buffer,feat_mlen,feat_vlen,feat_min_vector_buffer,feat_max_vector_buffer,feat_min_vector,feat_max_vector,feat_const,hier_total_area,hier_int_alu_area,hier_fp_alu_area,hier_fp_sfu_area,hier_scalar_sram_area,hier_top_glue_area,preset,_source_csv
scalar_machine_c81f0fe00e61,area_new_scalar_m128_v128_i32_fp_e5m6,scalar_machine,scalar_machine,complete,3,1145.903,1189.625917,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_c81f0fe00e61,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_c81f0fe00e61/summary.log,,128,128,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,1536.0,1536.0,1536.0,128.0,128.0,1536.0,1536.0,128.0,128.0,1.0,1189.6259,202.2538,109.7728,157.9597,0.2624,719.3772000000001,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_8c0be28417f1,area_new_scalar_m128_v128_i64_fp_e8m5,scalar_machine,scalar_machine,complete,8,108.172,1740.691587,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_8c0be28417f1,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_8c0be28417f1/summary.log,,128,128,64,FP_E8M5,8,5,14,4096.0,64.0,196.0,14.0,8.0,1792.0,1792.0,1792.0,128.0,128.0,1792.0,1792.0,128.0,128.0,1.0,1740.6916,609.2253,119.7601,145.6396,0.2624,865.8042000000002,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_12a4e6c8fe52,area_new_scalar_m128_v32_i32_fp_e5m6,scalar_machine,scalar_machine,complete,7,1137.51,727.964809,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_12a4e6c8fe52,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_12a4e6c8fe52/summary.log,,128,32,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,1536.0,384.0,1536.0,128.0,32.0,384.0,1536.0,32.0,128.0,1.0,727.9648,202.2538,109.7728,157.9889,0.2624,257.6869,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_cd087d25336e,area_new_scalar_m128_v32_i64_fp_e6m5,scalar_machine,scalar_machine,complete,11,61.393,1153.467521,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_cd087d25336e,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_cd087d25336e/summary.log,,128,32,64,FP_E6M5,6,5,12,4096.0,64.0,144.0,12.0,6.0,1536.0,384.0,1536.0,128.0,32.0,384.0,1536.0,32.0,128.0,1.0,1153.4675,609.2253,107.2942,132.6634,0.2624,304.02220000000005,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_299e16572c6c,area_new_scalar_m16_v16_i32_fp_e5m6,scalar_machine,scalar_machine,complete,0,1121.245,650.340891,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_299e16572c6c,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_299e16572c6c/summary.log,,16,16,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,192.0,192.0,192.0,16.0,16.0,192.0,192.0,16.0,16.0,1.0,650.3409,202.2538,109.7728,157.9889,0.2624,180.063,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_586786527442,area_new_scalar_m16_v64_i32_fp_e5m6,scalar_machine,scalar_machine,complete,4,1135.814,652.367511,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_586786527442,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_586786527442/summary.log,,16,64,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,192.0,768.0,192.0,16.0,64.0,192.0,768.0,16.0,64.0,1.0,652.3675,202.2538,109.7728,157.9889,0.2624,182.0895999999999,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_fc2dd91c80be,area_new_scalar_m32_v128_i16_fp_e4m7,scalar_machine,scalar_machine,complete,0,73.605,624.388492,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_fc2dd91c80be,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_fc2dd91c80be/summary.log,,32,128,16,FP_E4M7,4,7,12,256.0,16.0,144.0,12.0,4.0,384.0,1536.0,384.0,32.0,128.0,384.0,1536.0,32.0,128.0,1.0,624.3885,73.906,112.4701,203.5514,0.2624,234.19860000000006,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_2d4477518a65,area_new_scalar_m32_v128_i32_fp_e5m6,scalar_machine,scalar_machine,complete,6,1137.642,730.006009,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_2d4477518a65,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_2d4477518a65/summary.log,,32,128,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,384.0,1536.0,384.0,32.0,128.0,384.0,1536.0,32.0,128.0,1.0,730.006,202.2538,109.7728,157.9889,0.2624,259.72809999999987,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_38e32c8ac03e,area_new_scalar_m32_v32_i32_fp_e5m6,scalar_machine,scalar_machine,complete,1,1134.488,727.935649,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_38e32c8ac03e,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_38e32c8ac03e/summary.log,,32,32,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,384.0,384.0,384.0,32.0,32.0,384.0,384.0,32.0,32.0,1.0,727.9356,202.2538,109.7728,157.9889,0.2624,257.65770000000003,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_d941e57577e9,area_new_scalar_m64_v16_i32_fp_e5m6,scalar_machine,scalar_machine,complete,5,1135.503,650.428371,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_d941e57577e9,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_d941e57577e9/summary.log,,64,16,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,768.0,192.0,768.0,64.0,16.0,192.0,768.0,16.0,64.0,1.0,650.4284,202.2538,109.7728,157.9889,0.2624,180.15049999999997,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_8e1ff97041e3,area_new_scalar_m64_v64_i32_fp_e4m7,scalar_machine,scalar_machine,complete,10,1146.266,927.419205,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_8e1ff97041e3,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_8e1ff97041e3/summary.log,,64,64,32,FP_E4M7,4,7,12,1024.0,32.0,144.0,12.0,4.0,768.0,768.0,768.0,64.0,64.0,768.0,768.0,64.0,64.0,1.0,927.4192,202.2538,112.4701,203.5222,0.2624,408.9107000000001,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_69b872dd2e14,area_new_scalar_m64_v64_i16_fp_e5m6,scalar_machine,scalar_machine,complete,8,900.664,725.413308,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_69b872dd2e14,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_69b872dd2e14/summary.log,,64,64,16,FP_E5M6,5,6,12,256.0,16.0,144.0,12.0,5.0,768.0,768.0,768.0,64.0,64.0,768.0,768.0,64.0,64.0,1.0,725.4133,73.906,109.7728,157.9889,0.2624,383.4832,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_2691fb300982,area_new_scalar_m64_v64_i32_fp_e5m6,scalar_machine,scalar_machine,complete,2,1145.776,879.290625,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_2691fb300982,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_2691fb300982/summary.log,,64,64,32,FP_E5M6,5,6,12,1024.0,32.0,144.0,12.0,5.0,768.0,768.0,768.0,64.0,64.0,768.0,768.0,64.0,64.0,1.0,879.2906,202.2538,109.7728,157.9889,0.2624,409.0127000000001,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
scalar_machine_88c418fa85d6,area_new_scalar_m64_v64_i64_fp_e5m6,scalar_machine,scalar_machine,complete,9,1163.263,1332.976477,,,,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_88c418fa85d6,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_88c418fa85d6/summary.log,,64,64,64,FP_E5M6,5,6,12,4096.0,64.0,144.0,12.0,5.0,768.0,768.0,768.0,64.0,64.0,768.0,768.0,64.0,64.0,1.0,1332.9765,609.2253,109.7728,158.0035,0.2624,455.71250000000003,rich-v2,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/calibration_points.csv
