point_key,point_id,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,VLEN,FP_SETTING,V_FP_EXP_WIDTH,V_FP_MANT_WIDTH,fp_width,preset,rtl_variant,compile_mode,calibration_role,calibration_split,ROW_LANES,WRITE_LANES,STATE_ENTRIES,SOFTMAX_ROW_LANES,SOFTMAX_STATE_ENTRIES,scoreboard_depth,clock_period_ps,wns_ns,hier_total_area,hier_element_area,hier_element_lane_area,hier_reduction_area,hier_reduction_layer_area,hier_buffer_area,hier_top_glue_area,_source_csv
vector_machine_bf3491ccc851,area_new_vector_v128_fp_e5m6,vector_machine,vector_machine,complete,3,4589.118,68590.092774,,,,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/reports/vector_machine_bf3491ccc851,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/reports/vector_machine_bf3491ccc851/summary.log,,128,FP_E5M6,5,6,12,minimal-v1,,,,,,,,,,,,,68590.0928,45014.2186,44457.6181,18472.1599,17919.33,1583.0817,3520.6326,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/calibration_points.csv
vector_machine_48d5aeab6994,area_new_vector_v16_fp_e4m7,vector_machine,vector_machine,complete,4,446.693,11258.180145,,,,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/reports/vector_machine_48d5aeab6994,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/reports/vector_machine_48d5aeab6994/summary.log,,16,FP_E4M7,4,7,12,minimal-v1,,,,,,,,,,,,,11258.1801,7326.7124,7256.8736,2842.6188,2769.2378,613.5993,475.2495999999991,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/calibration_points.csv
vector_machine_724d8120a4c3,area_new_vector_v16_fp_e5m6_rtl_v4,vector_machine,vector_machine,complete,1,908.328,16198.715159,,,,Workspace/area_new_calibration/runs/vector_rtl_v4_delta_normal_20260725/reports/vector_machine_724d8120a4c3,Workspace/area_new_calibration/runs/vector_rtl_v4_delta_normal_20260725/reports/vector_machine_724d8120a4c3/summary.log,,16,FP_E5M6,5,6,12,rtl-v4-delta,rtl-v4,normal,,,,,,,,,,-0.5471900000000001,16198.7152,6394.2922,6324.9205999999995,2645.5993,2313.3648000000003,1215.5637,5943.260000000001,Workspace/area_new_calibration/runs/vector_rtl_v4_delta_normal_20260725/calibration_points.csv
vector_machine_8d73e1941180,area_new_vector_v16_fp_e6m5,vector_machine,vector_machine,complete,0,346.033,8195.709486,,,,Workspace/area_new_vector_calibration/runs/e6m5_v1_20260706_090404/reports/vector_machine_8d73e1941180,Workspace/area_new_vector_calibration/runs/e6m5_v1_20260706_090404/reports/vector_machine_8d73e1941180/summary.log,,16,FP_E6M5,6,5,12,e6m5-v1,,,,,,,,,,,,,8195.7095,4933.3471,4863.5084,2173.5718,2100.1906,613.5409,475.24970000000076,Workspace/area_new_vector_calibration/runs/e6m5_v1_20260706_090404/calibration_points.csv
vector_machine_22dcb08cb751,area_new_vector_v16_fp_e8m5,vector_machine,vector_machine,complete,5,508.301,8985.989211,,,,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/reports/vector_machine_22dcb08cb751,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/reports/vector_machine_22dcb08cb751/summary.log,,16,FP_E8M5,8,5,14,minimal-v1,,,,,,,,,,,,,8985.9892,5398.0117,5316.7432,2403.4109,2317.8993,637.2188,547.3478000000001,Workspace/area_new_vector_calibration/runs/minimal_v1_20260706_035527/calibration_points.csv
vector_machine_07b9dd37a81a,area_new_vector_v32_fp_e4m7,vector_machine,vector_machine,complete,0,1606.397,21977.046104,,,,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/reports/vector_machine_07b9dd37a81a,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/reports/vector_machine_07b9dd37a81a/summary.log,,32,FP_E4M7,4,7,12,refine-v1,,,,,,,,,,,,,21977.0461,14652.6812,14513.7472,5662.697,5520.7317,752.3862,909.2816999999985,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/calibration_points.csv
vector_machine_aa3a33813d4e,area_new_vector_v32_fp_e5m6_rtl_v4,vector_machine,vector_machine,complete,3,1734.275,27008.851919,,,,Workspace/area_new_calibration/runs/vector_rtl_v4_delta_normal_20260725/reports/vector_machine_aa3a33813d4e,Workspace/area_new_calibration/runs/vector_rtl_v4_delta_normal_20260725/reports/vector_machine_aa3a33813d4e/summary.log,,32,FP_E5M6,5,6,12,rtl-v4-delta,rtl-v4,normal,,,,,,,,,,-0.53935,27008.8519,12688.8864,12549.895199999999,5321.6999,4589.0259,1367.3415,7630.924100000002,Workspace/area_new_calibration/runs/vector_rtl_v4_delta_normal_20260725/calibration_points.csv
vector_machine_d36ab28b8341,area_new_vector_v32_fp_e6m5,vector_machine,vector_machine,complete,1,727.57,15853.037905,,,,Workspace/area_new_vector_calibration/runs/e6m5_v1_20260706_090404/reports/vector_machine_d36ab28b8341,Workspace/area_new_vector_calibration/runs/e6m5_v1_20260706_090404/reports/vector_machine_d36ab28b8341/summary.log,,32,FP_E6M5,6,5,12,e6m5-v1,,,,,,,,,,,,,15853.0379,9865.9068,9726.973,4325.5214,4183.5561,752.2696,909.3400999999991,Workspace/area_new_vector_calibration/runs/e6m5_v1_20260706_090404/calibration_points.csv
vector_machine_840bc3a5d1a1,area_new_vector_v32_fp_e8m5,vector_machine,vector_machine,complete,1,560.328,17429.529534,,,,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/reports/vector_machine_840bc3a5d1a1,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/reports/vector_machine_840bc3a5d1a1/summary.log,,32,FP_E8M5,8,5,14,refine-v1,,,,,,,,,,,,,17429.5295,10794.7549,10632.8438,4781.0881,4615.6781,799.7858,1053.9007000000006,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/calibration_points.csv
vector_machine_e99cb6cc64cb,area_new_vector_v64_fp_e4m7,vector_machine,vector_machine,complete,2,3511.797,43416.542201,,,,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/reports/vector_machine_e99cb6cc64cb,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/reports/vector_machine_e99cb6cc64cb/summary.log,,64,FP_E4M7,4,7,12,refine-v1,,,,,,,,,,,,,43416.5422,29306.2809,29027.4944,11298.9604,11020.1765,1030.2083,1781.092600000002,Workspace/area_new_vector_calibration/runs/refine_v1_20260706_071910/calibration_points.csv
