schema_version,opcode,hbm_generation,channels,address,rows,elements_per_row,stride_bytes,alignment_bytes,element_bits,direction,pin_rate_gbps,tensor,precision,scale_bits,block_size,scale_address,scale_stride_bytes,partial_write_rmw,replica,dt_ps,measured_s,physical_read_bytes,physical_write_bytes,instruction_pc,evidence_tier
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1048576,4,64,32,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68157440,8,False,0,48000,4.8e-08,512,0,8,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1052800,4,64,32,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68161664,8,False,1,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1057024,4,64,32,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68165888,8,False,2,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1061264,4,64,32,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68170128,8,False,0,49000,4.9e-08,640,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1065552,4,64,32,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68174416,8,False,1,51000,5.1e-08,640,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1069840,4,64,32,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68178704,8,False,2,51000,5.1e-08,640,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1074144,4,64,32,32,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68183008,8,False,0,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1078432,4,64,32,32,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68187296,8,False,1,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1082720,4,64,32,32,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68191584,8,False,2,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1087024,4,64,32,48,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68195888,8,False,0,51000,5.1e-08,640,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1091312,4,64,32,48,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68200176,8,False,1,45000,4.5e-08,640,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1095600,4,64,32,48,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68204464,8,False,2,48000,4.8e-08,640,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1099840,4,64,128,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68208704,32,False,0,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1104384,4,64,128,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68213248,32,False,1,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1108928,4,64,128,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68217792,32,False,2,44000,4.4e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1113488,4,64,128,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68222352,32,False,0,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1118032,4,64,128,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68226896,32,False,1,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1122576,4,64,128,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68231440,32,False,2,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1127136,4,64,128,32,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68236000,32,False,0,46000,4.6e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1131680,4,64,128,32,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68240544,32,False,1,46000,4.6e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1136224,4,64,128,32,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68245088,32,False,2,48000,4.8e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1140784,4,64,128,48,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68249648,32,False,0,48000,4.8e-08,768,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1145392,4,64,128,48,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68254256,32,False,1,48000,4.8e-08,768,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1150000,4,64,128,48,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68258864,32,False,2,48000,4.8e-08,768,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1154560,4,64,1024,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68263424,256,False,0,42000,4.2e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1161792,4,64,1024,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68270656,256,False,1,42000,4.2e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1169024,4,64,1024,0,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68277888,256,False,2,42000,4.2e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1176272,4,64,1024,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68285136,256,False,0,42000,4.2e-08,512,0,9,ramulator2_simulated
plena-dma-request-calibration,H_PREFETCH_V,HBM2,8,1183504,4,64,1024,16,4,read,2.0,vector_activation,mxfp4_e2m1,8,8,68292368,256,False,1,42000,4.2e-08,512,0,9,ramulator2_simulated
