component,case,stage,kernel_calls,duration_ns,dram_read_bytes,dram_write_bytes,l2_read_sectors,l2_write_sectors,sm_throughput_pct,memory_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,registers_per_thread,duration_ns_status,dram_read_bytes_status,dram_write_bytes_status,l2_read_sectors_status,l2_write_sectors_status,sm_throughput_pct_status,memory_throughput_pct_status,achieved_occupancy_pct_status,theoretical_occupancy_pct_status,registers_per_thread_status
mla,decode_b1_s2048,attention_core,5,207350,201846450,32300000,10082100,5906749,40.448349,30.804689,43.147662,70.107306,72.844755,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
mla,decode_b1_s2048,kv_a_projection,1,23870,8290000.0,0,908364,856,23.65,14.19,9.85,12.5,168,supported,supported,supported metric measured zero,supported,supported,supported,supported,supported,supported,supported
mla,decode_b1_s2048,kv_norm_kv_b_projection,9,70010,25326940,0,1232770,5262,2.218622,7.046266,6.557278,80.77239,57.545494,supported,supported,supported metric measured zero,supported,supported,supported,supported,supported,supported,supported
mla,decode_b1_s2048,out_projection_residual,5,105470,352548000,8200000,16796664,7253,24.451419,51.798405,9.200321,25.730065,143.747416,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
mla,decode_b1_s2048,q_a_projection,1,27970,22050000,0,1725692,755,27.72,17.88,9.85,12.5,168,supported,supported,supported metric measured zero,supported,supported,supported,supported,supported,supported,supported
mla,decode_b1_s2048,q_norm_q_b_projection,9,77560,56809990,166910,2755523,4465,4.511534,12.484763,7.553387,76.129771,65.052604,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
mla,decode_b1_s2048,rope_cache_append_or_read,4,584290,126042450,45350000,6618542,6713882,52.047518,7.753767,56.462457,100,25.932191,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
mla,decode_b8_s2048,attention_core,4,1836990,1613096810,912390000,80295280,47203046,49.174885,42.477096,39.46193,54.873666,106.098433,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
mla,decode_b8_s2048,kv_a_projection,1,22460,8390000,4860,911488,1413,24.93,14.96,9.89,12.5,168,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
mla,decode_b8_s2048,kv_norm_kv_b_projection,9,74070,25447790,0,1248437,24830,2.154682,6.644773,8.663067,84.843729,51.496152,supported,supported,supported metric measured zero,supported,supported,supported,supported,supported,supported,supported
mla,decode_b8_s2048,out_projection_residual,5,98940,353504800,7880000,16839004,40238,26.346104,55.046775,9.088926,26.950677,141.478876,supported,supported,supported,supported,supported,supported,supported,supported,supported,supported
