component,case,stage,projected_gpu_time_ns,range_wall_time_ns,range_instances,gpu_ops
mla,decode_b1_s2048,q_norm_q_b_projection,374976,594025,1,9
mla,decode_b1_s2048,rope_cache_append_or_read,323200,120536,1,4
mla,decode_b1_s2048,attention_core,136352,312455,1,5
mla,decode_b1_s2048,kv_norm_kv_b_projection,123136,155238,1,9
mla,decode_b1_s2048,out_projection_residual,78112,111242,1,5
mla,decode_b1_s2048,q_a_projection,14752,635340,1,1
mla,decode_b1_s2048,kv_a_projection,12192,69434,1,1
mla,decode_b8_s2048,rope_cache_append_or_read,2247809,97393,1,4
mla,decode_b8_s2048,attention_core,1194272,237491,1,4
mla,decode_b8_s2048,q_norm_q_b_projection,297856,434080,1,9
mla,decode_b8_s2048,kv_norm_kv_b_projection,112064,139497,1,9
mla,decode_b8_s2048,out_projection_residual,71808,111950,1,5
mla,decode_b8_s2048,q_a_projection,14336,435003,1,1
mla,decode_b8_s2048,kv_a_projection,11296,34633,1,1
mla,prefill_s128,q_norm_q_b_projection,485152,761649,1,9
mla,prefill_s128,attention_core,282080,371592,1,4
mla,prefill_s128,kv_norm_kv_b_projection,134592,163613,1,9
mla,prefill_s128,out_projection_residual,114848,165524,1,5
mla,prefill_s128,rope_cache_append_or_read,31008,104328,1,2
mla,prefill_s128,q_a_projection,11904,775021,1,1
mla,prefill_s128,kv_a_projection,11712,44881,1,1
mla,prefill_s2048,attention_core,696064,244889,1,4
mla,prefill_s2048,out_projection_residual,548001,114159,1,5
mla,prefill_s2048,rope_cache_append_or_read,420448,60457,1,2
mla,prefill_s2048,q_norm_q_b_projection,355904,429315,1,9
mla,prefill_s2048,kv_norm_kv_b_projection,148640,135761,1,9
mla,prefill_s2048,q_a_projection,34208,365040,1,1
mla,prefill_s2048,kv_a_projection,19584,36521,1,1
moe,decode_b1_s2048,routed_gate_up,2811553,2902848,1,240
moe,decode_b1_s2048,dispatch_gather,1104384,1299049,1,30
moe,decode_b1_s2048,router_topk,756192,1267967,1,11
moe,decode_b1_s2048,combine_reduction,361088,376497,1,16
moe,decode_b1_s2048,routed_down,301888,325449,1,16
moe,decode_b1_s2048,shared_experts,217216,252349,1,16
moe,decode_b1_s2048,residual,1440,35325,1,1
moe,decode_b8_s2048,routed_gate_up,2966913,3052333,1,240
moe,decode_b8_s2048,dispatch_gather,1084832,1305348,1,30
moe,decode_b8_s2048,router_topk,827488,1328820,1,12
moe,decode_b8_s2048,combine_reduction,397120,413135,1,16
moe,decode_b8_s2048,routed_down,293024,316249,1,16
moe,decode_b8_s2048,shared_experts,232928,274824,1,16
moe,decode_b8_s2048,residual,1920,32699,1,1
moe,prefill_s128,routed_gate_up,2651872,2712583,1,240
moe,prefill_s128,dispatch_gather,867808,1032242,1,30
moe,prefill_s128,router_topk,578913,924291,1,13
moe,prefill_s128,combine_reduction,305408,318037,1,16
moe,prefill_s128,routed_down,282752,304350,1,16
moe,prefill_s128,shared_experts,203200,229953,1,16
moe,prefill_s128,residual,2400,28790,1,1
moe,prefill_s2048,routed_gate_up,3424065,2609611,1,240
moe,prefill_s2048,combine_reduction,1532673,311786,1,16
moe,prefill_s2048,router_topk,934144,989817,1,27
moe,prefill_s2048,dispatch_gather,806912,1034715,1,47
moe,prefill_s2048,shared_experts,659808,224300,1,16
moe,prefill_s2048,routed_down,615104,289449,1,16
moe,prefill_s2048,residual,11840,8700,1,1
