case,variant,format,schedule,seeds,output_relative_l2_mean,output_relative_l2_max,output_max_abs_max,output_cosine_min,state_relative_l2_mean,state_relative_l2_max,state_max_abs_max,state_cosine_min,nan_count,inf_count,payload_bytes,scale_bytes,total_bytes,hbm_read_reduction_vs_fp32,hbm_write_reduction_vs_fp32,wall_time_s_mean,peak_memory_bytes_max
decode_after_s2048_steps512,bf16,bf16,prefill_chunk128_decode_token,"[17, 42, 2026]",0.0013126194621815666,0.0013278358493221238,0.03125,0.9999991148800588,0.0023699209589680237,0.002481503770313614,0.002006120979785919,0.9999969664272477,0,0,1048576,0,1048576,0.5,0.5,0.40391097698981565,133437952
decode_after_s2048_steps512,fp16,fp16,prefill_chunk128_decode_token,"[17, 42, 2026]",0.0007013312041569833,0.0007088661130465797,0.015625,0.9999997276563584,0.00030207414802286534,0.0003148067462160416,0.00027664005756378174,0.9999999588532328,0,0,1048576,0,1048576,0.5,0.5,0.40391097698981565,133437952
decode_after_s2048_steps512,fp32,fp32,reference,"[17, 42, 2026]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,2097152,0,2097152,0.0,0.0,0.40391097698981565,133437952
decode_after_s2048_steps512,mx8,mx8,prefill_chunk128_decode_token,"[17, 42, 2026]",0.004939351940452578,0.006104078347578136,0.08203125,0.999981382440683,0.04356547343950259,0.04705726990774683,0.0631926879286766,0.9989061047114876,0,0,524288,4096,528384,0.748046875,0.748046875,0.40391097698981565,133437952
prefill_s2048,bf16_chunk128,bf16,chunk128,"[17, 42, 2026]",0.0003041267680934336,0.0003358662883544622,0.03125,0.9999999147136285,0.0016528014770588824,0.0016626556624507011,0.0016390681266784668,0.9999985976911256,0,0,1048576,0,1048576,0.5,0.5,0.6662230292956034,159111680
prefill_s2048,bf16_token,bf16,token,"[17, 42, 2026]",0.0013014808786149517,0.0013027297009490747,0.03125,0.9999991484174002,0.0025467035065520342,0.002820649038564403,0.002958238124847412,0.9999960543051554,0,0,1048576,0,1048576,0.5,0.5,0.6662230292956034,159111680
prefill_s2048,fp16_chunk128,fp16,chunk128,"[17, 42, 2026]",0.0001413438095320516,0.0001576769896631693,0.015625,0.9999999800998529,0.00020727875101779673,0.00020881537469685454,0.00031554698944091797,0.9999999316895786,0,0,1048576,0,1048576,0.5,0.5,0.6662230292956034,159111680
prefill_s2048,fp16_token,fp16,token,"[17, 42, 2026]",0.0007031291521939251,0.0007100864031156748,0.03125,0.9999997360093158,0.00032705023423329217,0.0003650314523002281,0.000661015510559082,0.9999999317330175,0,0,1048576,0,1048576,0.5,0.5,0.6662230292956034,159111680
prefill_s2048,fp32,fp32,reference,"[17, 42, 2026]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,2097152,0,2097152,0.0,0.0,0.6662230292956034,159111680
prefill_s2048,mx8_chunk128,mx8,chunk128,"[17, 42, 2026]",0.0007797793028944167,0.0008602089675756749,0.03125,0.9999996105261868,0.026689728836717067,0.027163578390699345,0.03288757801055908,0.9996310201272177,0,0,524288,4096,528384,0.748046875,0.748046875,0.6662230292956034,159111680
prefill_s2048,mx8_token,mx8,token,"[17, 42, 2026]",0.004657611864515624,0.0054197956754135695,0.1806640625,0.9999853393103434,0.0436556386988518,0.047523832547656346,0.08200064301490784,0.9988852922403962,0,0,524288,4096,528384,0.748046875,0.748046875,0.6662230292956034,159111680
prefill_s32768,bf16_chunk128,bf16,chunk128,"[17, 42, 2026]",0.00031241314694704236,0.00034310683761439395,0.03125,0.9999999360427371,0.001667918069863536,0.0016924889397421758,0.0019229650497436523,0.9999986127756405,0,0,1048576,0,1048576,0.5,0.5,9.009051695698872,159111680
prefill_s32768,bf16_token,bf16,token,"[17, 42, 2026]",0.0013101625022298952,0.0013176990081919728,0.03125,0.9999991403604348,0.002397643392145919,0.002645654841225601,0.003225356340408325,0.999996568177723,0,0,1048576,0,1048576,0.5,0.5,9.009051695698872,159111680
prefill_s32768,fp16_chunk128,fp16,chunk128,"[17, 42, 2026]",0.00014179012876617766,0.000155236319029626,0.03125,0.9999999817011176,0.00020686635725325304,0.000209386721716453,0.00040030479431152344,1.0,0,0,1048576,0,1048576,0.5,0.5,9.009051695698872,159111680
prefill_s32768,fp16_token,fp16,token,"[17, 42, 2026]",0.0007026567084649575,0.0007062832407007359,0.03125,0.9999997527872442,0.0003015652438683227,0.0003234503181197719,0.0005762577056884766,0.9999998374618435,0,0,1048576,0,1048576,0.5,0.5,9.009051695698872,159111680
prefill_s32768,fp32,fp32,reference,"[17, 42, 2026]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,2097152,0,2097152,0.0,0.0,9.009051695698872,159111680
prefill_s32768,mx8_chunk128,mx8,chunk128,"[17, 42, 2026]",0.0008060857982586665,0.0008854089751966405,0.0322265625,0.9999996093278647,0.026866347683043326,0.027601986813779778,0.06094717979431152,0.9996214355417785,0,0,524288,4096,528384,0.748046875,0.748046875,9.009051695698872,159111680
prefill_s32768,mx8_token,mx8,token,"[17, 42, 2026]",0.004749085055114861,0.005467313508933984,0.1806640625,0.9999850653013697,0.04946875503905541,0.057996068033522204,0.06405282020568848,0.9983742105006064,0,0,524288,4096,528384,0.748046875,0.748046875,9.009051695698872,159111680
prefill_s8192,bf16_chunk128,bf16,chunk128,"[17, 42, 2026]",0.00031098020307524996,0.00033802874903727837,0.03125,0.9999999360562017,0.0016767195021457747,0.0017006744253659277,0.00163191556930542,0.9999984536412121,0,0,1048576,0,1048576,0.5,0.5,2.312129750304545,159111680
prefill_s8192,bf16_token,bf16,token,"[17, 42, 2026]",0.0013063121732073857,0.0013154409028362493,0.03125,0.9999991395223969,0.0024767758907587316,0.0027388080849725226,0.003057420253753662,0.9999962746197593,0,0,1048576,0,1048576,0.5,0.5,2.312129750304545,159111680
prefill_s8192,fp16_chunk128,fp16,chunk128,"[17, 42, 2026]",0.0001423317415932717,0.0001539795848631669,0.03125,0.9999999793958848,0.00020576669744493974,0.00020783000428875833,0.00023680925369262695,0.9999999306772895,0,0,1048576,0,1048576,0.5,0.5,2.312129750304545,159111680
prefill_s8192,fp16_token,fp16,token,"[17, 42, 2026]",0.0007033462490466574,0.000705764282089368,0.03125,0.9999997507086792,0.0003089285205763424,0.00034768069923733064,0.000500023365020752,0.9999999280966578,0,0,1048576,0,1048576,0.5,0.5,2.312129750304545,159111680
prefill_s8192,fp32,fp32,reference,"[17, 42, 2026]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,2097152,0,2097152,0.0,0.0,2.312129750304545,159111680
prefill_s8192,mx8_chunk128,mx8,chunk128,"[17, 42, 2026]",0.000799455457019954,0.0008668911090720505,0.03125,0.9999996277051503,0.02624650295579156,0.026676357712123382,0.030021965503692627,0.9996441429863848,0,0,524288,4096,528384,0.748046875,0.748046875,2.312129750304545,159111680
prefill_s8192,mx8_token,mx8,token,"[17, 42, 2026]",0.004756201282337427,0.005565881500696925,0.1806640625,0.9999845199469912,0.04197210818012087,0.04873500900237712,0.06583338975906372,0.9989073138290943,0,0,524288,4096,528384,0.748046875,0.748046875,2.312129750304545,159111680
