trial,tag,fmt,block,gptq,W,A,KV,cont_ppl,cost_mb_per_token,w_eff_bits,a_eff_bits,kv_eff_bits,weight_MB_per_token,kv_MB_per_token,eval_seconds,error
0,W:MXINT8 A:MXINT8 KV:MXINT8 b32,mxint,32,False,MXINT8,MXINT8,MXINT8,10.5868,3653.321,8.25,8.25,8.25,1274.364,2378.957,19.6,
376,W:MXINT8 A:MXINT8 KV:MXINT8 b64,mxint,64,False,MXINT8,MXINT8,MXINT8,10.6043,3597.967,8.125,8.125,8.125,1255.055,2342.912,17.3,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT4 b16,mxint,16,True,MXINT4,MXINT8,MXINT4,11.8257,1992.72,4.5,8.5,4.5,695.108,1297.613,8991.8,
71,W:MXINT4 A:MXINT8 KV:MXINT8 b16,mxint,16,False,MXINT4,MXINT8,MXINT8,11.8303,3146.154,4.5,8.5,8.5,695.108,2451.046,19.7,
3,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,11.9244,3653.321,8.25,8.25,8.25,1274.364,2378.957,41.2,
26,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,11.9656,3764.027,8.5,8.5,8.5,1312.981,2451.046,51.2,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT4 b32,mxint,32,True,MXINT4,MXINT8,MXINT4,12.1691,1882.014,4.25,8.25,4.25,656.49,1225.523,33.7,
2,W:MXINT4 A:MXINT8 KV:MXINT8 b32,mxint,32,False,MXINT4,MXINT8,MXINT8,12.2409,3035.447,4.25,8.25,8.25,656.49,2378.957,19.2,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT8 b32,mxint,32,True,MXINT4,MXINT8,MXINT8,12.4189,3035.447,4.25,8.25,8.25,656.49,2378.957,29.0,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT4 b64,mxint,64,True,MXINT4,MXINT8,MXINT4,12.5816,1826.66,4.125,8.125,4.125,637.182,1189.478,4812.1,
49,W:MXINT4 A:MXINT8 KV:MXINT8 b64,mxint,64,False,MXINT4,MXINT8,MXINT8,12.6797,2980.094,4.125,8.125,8.125,637.182,2342.912,22.9,
299,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E4M3,MXFP_E4M3,MXFP_E5M2,13.0971,3653.321,8.25,8.25,8.25,1274.364,2378.957,27.0,
251,W:MXFP_E4M3 A:MXFP_E4M3 KV:MXFP_E5M2 b64,mxfp,64,False,MXFP_E4M3,MXFP_E4M3,MXFP_E5M2,13.1043,3597.967,8.125,8.125,8.125,1255.055,2342.912,28.2,
391,W:MXINT4 A:MXINT8 KV:MXINT4 b16,mxint,16,False,MXINT4,MXINT8,MXINT4,13.3282,1992.72,4.5,8.5,4.5,695.108,1297.613,17.1,
-1,W:MXINT3(gptq) A:MXINT8 KV:MXINT4 b16,mxint,16,True,MXINT3,MXINT8,MXINT4,13.7228,1838.252,3.5,8.5,4.5,540.639,1297.613,7761.4,
321,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E5M2,MXFP_E4M3,MXFP_E4M3,14.247,3597.967,8.125,8.125,8.125,1255.055,2342.912,27.9,
81,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E5M2,MXFP_E4M3,MXFP_E4M3,14.294,3653.321,8.25,8.25,8.25,1274.364,2378.957,40.6,
262,W:MXINT8 A:MXINT4 KV:MXINT8 b16,mxint,16,False,MXINT8,MXINT4,MXINT8,14.8506,3764.027,8.5,4.5,8.5,1312.981,2451.046,17.1,
1,W:MXINT4 A:MXINT8 KV:MXINT4 b32,mxint,32,False,MXINT4,MXINT8,MXINT4,14.923,1882.014,4.25,8.25,4.25,656.49,1225.523,19.1,
160,W:MXINT8 A:MXINT8 KV:MXINT4 b64,mxint,64,False,MXINT8,MXINT8,MXINT4,16.3726,2444.534,8.125,8.125,4.125,1255.055,1189.478,17.0,
7,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E5M2 b64,mxfp,64,False,MXFP_E5M2,MXFP_E4M3,MXFP_E5M2,16.7729,3597.967,8.125,8.125,8.125,1255.055,2342.912,48.0,
30,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E5M2 b32,mxfp,32,False,MXFP_E5M2,MXFP_E4M3,MXFP_E5M2,16.7769,3653.321,8.25,8.25,8.25,1274.364,2378.957,48.5,
-1,W:MXINT4(gptq) A:MXINT8 KV:MXINT3 b16,mxint,16,True,MXINT4,MXINT8,MXINT3,16.8032,1704.362,4.5,8.5,3.5,695.108,1009.254,8274.0,
265,W:MXFP_E5M2 A:MXFP_E4M3 KV:MXFP_E5M2 b16,mxfp,16,False,MXFP_E5M2,MXFP_E4M3,MXFP_E5M2,16.8745,3764.027,8.5,8.5,8.5,1312.981,2451.046,27.4,
120,W:MXINT8 A:MXINT4 KV:MXINT4 b16,mxint,16,False,MXINT8,MXINT4,MXINT4,18.1898,2610.594,8.5,4.5,4.5,1312.981,1297.613,18.9,
315,W:MXINT8 A:MXINT4 KV:MXINT8 b32,mxint,32,False,MXINT8,MXINT4,MXINT8,18.7049,3653.321,8.25,4.25,8.25,1274.364,2378.957,17.2,
123,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E4M3 b32,mxfp,32,False,MXFP_E4M3,MXFP_E5M2,MXFP_E4M3,18.947,3653.321,8.25,8.25,8.25,1274.364,2378.957,45.4,
78,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E4M3 b64,mxfp,64,False,MXFP_E4M3,MXFP_E5M2,MXFP_E4M3,19.0066,3597.967,8.125,8.125,8.125,1255.055,2342.912,44.6,
46,W:MXFP_E4M3 A:MXFP_E5M2 KV:MXFP_E4M3 b16,mxfp,16,False,MXFP_E4M3,MXFP_E5M2,MXFP_E4M3,19.0618,3764.027,8.5,8.5,8.5,1312.981,2451.046,44.6,
207,W:MXINT3 A:MXINT8 KV:MXINT8 b16,mxint,16,False,MXINT3,MXINT8,MXINT8,19.6369,2991.686,3.5,8.5,8.5,540.639,2451.046,18.0,
165,W:MXINT8 A:MXINT8 KV:MXINT3 b16,mxint,16,False,MXINT8,MXINT8,MXINT3,20.6445,2322.235,8.5,8.5,3.5,1312.981,1009.254,17.8,
14,W:MXINT4 A:MXINT4 KV:MXINT4 b16,mxint,16,False,MXINT4,MXINT4,MXINT4,22.9288,1992.72,4.5,4.5,4.5,695.108,1297.613,18.2,
