family,low,nominal,high
control.frontend_issue,0.993521242285262,1.0,1.0
hbm_controller.matrix_prefetch,1.0,1.0,1.3632129707447562
hbm_controller.physical_transfer,1.0,1.0,1.0940203387716148
hbm_controller.vector_prefetch,1.0,1.0,1.0940203387716148
hbm_controller.vector_writeback,0.9166527592192112,1.0,1.0317839838841605
matrix.array_compute.mxfp,0.5973247792857531,1.0,1.0
matrix.array_compute.mxint,0.6878190235569249,1.0,1.1790441992906366
scalar.fp_add_sub_move,0.9833039379460419,1.0,1.232426360112076
scalar.fp_multiply,0.9721768946360912,1.0,1.2239663250822597
scalar.fp_sfu_exp,0.9700695859007917,1.0,1.2368816058896448
scalar.fp_sfu_reciprocal,0.9839359152016637,1.0,1.2531351176066614
scalar.fp_sfu_rsqrt,0.9924944901625725,1.0,1.1977144345800492
scalar.fp_sfu_sqrt,0.968675605448187,1.0,1.2396932801216722
scalar.integer_alu,0.9235789060783222,1.0,1.0
scalar.integer_multiply,0.985969640489307,1.0,1.0
scalar.register_or_sram_access,0.9747727095077257,1.0,1.2377039709541218
scalar.vector_lane_load,0.5264951482082582,1.0,1.0282340758037407
scalar.vector_lane_store,0.10916461260253428,1.0,1.0
vector.lane_add_sub_vf,0.062414377789272356,1.0,1.0
vector.lane_add_sub_vseg,0.04629940780581696,1.0,1.0
vector.lane_add_sub_vv,0.046158080470487084,1.0,1.0
vector.lane_movement_shift,0.37180294743279413,1.0,1.0391112788382795
vector.lane_multiply_vf,0.09709288283457733,1.0,1.0
vector.lane_multiply_vseg,0.0735127817929559,1.0,1.0
vector.lane_multiply_vv,0.07338892592007015,1.0,1.0
vector.lane_sfu_exp,0.011833264614601385,1.0,1.0
vector.lane_sfu_reciprocal,0.012638645994657142,1.0,1.0
vector.reduction_max_full,0.025176423722036215,1.0,1.1011902491874317
vector.reduction_max_segment,0.05029786427831998,1.0,1.1207620348953824
vector.reduction_max_segments,0.5398815304802236,1.0,1.034118200038128
vector.reduction_sum_full,0.025215416674583168,1.0,1.1011852528175883
vector.reduction_sum_segment,0.030429077300098455,1.0,1.0983937442648752
vector.reduction_sum_segments,0.5312142995798028,1.0,1.0301191356467434
