case,stage,kernel_name,calls,duration_ns,dram_read_bytes,dram_write_bytes,l2_read_sectors,l2_write_sectors,sm_throughput_pct,memory_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,grid,block,registers_per_thread,result_dir
prefill_b1_s2048,qkv_projection,nvjet_sm100_tst_128x256_64x6_2x2_2cta_h_bz_TNT,3,1277540,908430000,126930000,194456531,7086218,81.433366,40.653349,8.98,12.5,"(768, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103528Z_gpu3_prefill_b1_s2048_qkv_projection
prefill_b1_s2048,short_conv,causal_conv1d_fwd_kernel,3,210530,151700000,28370000,7758686,7079470,60.770152,51.990068,23.036705,25,"(192, 32, 1)","(128, 1, 1)",109,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103546Z_gpu3_prefill_b1_s2048_short_conv
prefill_b1_s2048,short_conv,causal_conv1d_states_fwd_kernel,3,19330,313600,0,19690,14253,0.62344,2.328044,6.203637,75,"(48, 1, 1)","(128, 1, 1)",40,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103546Z_gpu3_prefill_b1_s2048_short_conv
prefill_b1_s2048,decay_beta,nvjet_sm100_tst_64x32_64x16_2x2_2cta_h_bz_TNT,1,25020,31210000,256,3274217,25278,47.6,30.22,9.08,12.5,"(128, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103609Z_gpu3_prefill_b1_s2048_decay_beta
prefill_b1_s2048,decay_beta,nvjet_sm100_tst_192x128_64x6_2x1_2cta_v_bz_TNT,1,26370,3690000,1240000,1571613,2352152,25.95,45.4,9.2,12.5,"(1024, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103609Z_gpu3_prefill_b1_s2048_decay_beta
prefill_b1_s2048,decay_beta,nvjet_sm100_tst_64x64_64x16_2x2_2cta_h_bz_splitK_TNT,1,20990,30750000,0,2343181,74351,29.78,22.05,9.2,12.5,"(128, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103609Z_gpu3_prefill_b1_s2048_decay_beta
prefill_b1_s2048,decay_beta,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, 0, float, __nv_bfloat16, __nv_bfloat16, 1, 0, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",1,9280,1590000,0,78405,18810,13.57,3.62,56.77,100,"(3, 128, 1)","(32, 16, 1)",32,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103609Z_gpu3_prefill_b1_s2048_decay_beta
prefill_b1_s2048,kda_state_update_output,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() lambda() (instance 12)]::operator ()() lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1,9280,416260,0,205379,19259,3.67,11.07,15.32,100,"(384, 1, 1)","(128, 1, 1)",20,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103628Z_gpu3_prefill_b1_s2048_kda_state_update_output
prefill_b1_s2048,kda_state_update_output,"void _flash_kda_fwd_prepare<cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<int, 0>>, const cute::Layout<cute::tuple<cute::C<128>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<128>, cute::C<16>>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<0>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<int, 0>>, const cute::Layout<cute::tuple<cute::C<128>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<128>, cute::C<16>>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<0>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<512>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<32>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::C<32>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::C<1>, cute::C<0>>>>>, cute::tuple<cute::C<32>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<int, 0>>, const cute::Layout<cute::tuple<cute::C<128>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<128>, cute::C<16>>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<0>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<4096>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<128>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, float>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::C<128>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::C<1>, cute::C<0>>>>>, cute::tuple<cute::C<1>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<4096>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<128>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, float>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::C<128>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::C<1>, cute::C<0>>>>>, cute::tuple<cute::C<1>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<2>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<16>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<2>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<16>>>, 16, 128, 256, 0>(T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, float, int, int, int, const long *, int, const float *, float, const int *)",1,127710,151470000,118970000,7246340,15630312,66.98,65.74,94.31,100,"(128, 96, 1)","(256, 1, 1)",32,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103628Z_gpu3_prefill_b1_s2048_kda_state_update_output
prefill_b1_s2048,kda_state_update_output,"void _flash_kda_fwd_recurrence<cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<int, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<512>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<32>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::C<32>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::C<1>, cute::C<0>>>>>, cute::tuple<cute::C<32>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<4096>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<128>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, float>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::C<128>, cute::C<1>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::C<1>, cute::C<0>>>>>, cute::tuple<cute::C<1>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<2>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<16>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<2>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<16>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<128>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<1, 4, 3> &>>, float>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<128>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<128>, cute::C<1>>, cute::C<1024>>>>>, cute::tuple<cute::C<1>, cute::C<128>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<128>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<1, 4, 3> &>>, float>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<128>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<128>, cute::C<1>>, cute::C<1024>>>>>, cute::tuple<cute::C<1>, cute::C<128>, cute::C<128>>>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<2048>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<int, 0>>, const cute::Layout<cute::tuple<cute::C<8>, cute::C<16>, cute::C<1>>, cute::tuple<cute::ScaledBasis<cute::C<1>, 2>, cute::ScaledBasis<cute::C<1>, 1>, cute::ScaledBasis<cute::C<1>, 0>>> &, const cute::Swizzle<0, 4, 3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<1>, cute::tuple<cute::tuple<cute::tuple<cute::C<8>, cute::C<16>>, cute::C<16>>>>, cute::tuple<cute::C<0>, cute::tuple<cute::tuple<cute::tuple<cute::C<16>, cute::C<1>>, cute::C<128>>>>>, cute::tuple<cute::C<1>, cute::C<16>, cute::C<128>>>, 16, 128, 3, 2, 192, 1, 1, 1, 0>(T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, cutlass::bfloat16_t *, int, int, int, const long *, int)",1,325950,226950000,37590000,20944488,5021548,21.13,39.46,9.36,18.75,"(1, 96, 1)","(192, 1, 1)",74,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T103628Z_gpu3_prefill_b1_s2048_kda_state_update_output
