benchmark,mode,batch_size,generation_limit,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_prompt_length,warmup,measurements,request_measurement_count,generated_tokens_total,ttft_ms_median,ttft_ms_p95,itl_ms_median,itl_ms_p95,tpot_ms_median,tpot_ms_p95,e2e_ms_median,e2e_ms_p95,batch_throughput_tokens_per_s_median,batch_throughput_tokens_per_s_p95,gpu_memory_used_peak_bytes,batch_energy_joules_median,batch_energy_joules_p95,batch_tokens_per_joule_median,power_status
bfcl_v3,b1_long,1,128,0,"[""bfcl_v3:multi_turn_base_10""]",3786,3786,3786,5,20,20,2560,75.31656100000001,78.42008215,4.360621,4.564183650000001,4.380028527559055,4.410379649999999,631.7448915,636.4939508,202.61182903693242,203.66984534476168,67445260288,205.13852738353972,223.38660135983557,0.6239712461328875,supported
bfcl_v3,b1_long,1,128,1,"[""bfcl_v3:multi_turn_base_9""]",3790,3790,3790,5,20,20,2560,78.991997,81.53299510000001,4.366904,4.5963576,4.383369929133858,4.4241212232283464,635.9438195,642.447815,201.27355474351288,203.08939161615137,67445260288,206.76165596205772,216.7214740289586,0.6190703038399282,supported
bfcl_v3,b1_long,1,128,2,"[""bfcl_v3:multi_turn_base_1""]",3798,3798,3798,5,20,20,2560,74.307184,78.08080185000001,4.348981,4.51272965,4.365965507874016,4.373770946850393,628.8442849999999,632.11741655,203.54640986354667,204.60200201935658,67445260288,205.51725134251103,219.21983696281347,0.6228189512788952,supported
bfcl_v3,b1_long,1,128,3,"[""bfcl_v3:multi_turn_base_12""]",3798,3798,3798,5,20,20,2560,74.1903195,76.39461779999999,4.343542,4.538350100000001,4.361364287401575,4.383457175590551,627.9692285000001,630.8817509500001,203.82997268785454,205.25384682417308,67445260288,204.12700768535325,223.82483803014972,0.6270605838234171,supported
bfcl_v3,b1_long,1,128,4,"[""bfcl_v3:multi_turn_base_3""]",3804,3804,3804,5,20,20,2530,70.830648,77.93299990000003,4.3121645,4.463640600000001,4.326046358267717,4.344578771653543,619.120221,629.0374658,206.6352304300915,207.58244603234064,67445260288,203.48545717265102,207.39489434190983,0.6284344687206392,supported
bfcl_v3,b1_long,1,128,5,"[""bfcl_v3:multi_turn_base_6""]",3811,3811,3811,5,20,20,2560,69.64948849999999,78.01177315000004,4.284909000000001,4.4224949,4.297567803149606,4.318587188188976,616.0778605,624.2999515500001,207.7640463218928,209.1655874890166,67445260288,202.6618227265953,214.8438656519836,0.6315942711635247,supported
bfcl_v3,b1_long,1,128,6,"[""bfcl_v3:multi_turn_base_14""]",5400,5400,5400,5,20,20,2560,68.28012899999999,73.02899995,4.2666995,4.436960300000001,4.282221181102362,4.312226768110237,612.236598,617.3763381,209.06786098216293,209.6776519300346,67445260288,209.58938732531522,219.1120112949583,0.6107180714252166,supported
bfcl_v3,b1_long,1,128,7,"[""bfcl_v3:multi_turn_base_2""]",5597,5597,5597,5,20,20,2560,67.491274,75.51416990000006,4.2552555000000005,4.5013517499999995,4.275397633858267,4.324092208661418,609.9563765,635.9521124500001,209.85094836872833,211.67565482436882,67445260288,209.73053203754847,223.12404691679387,0.610306976414903,supported
bfcl_v3,b1_long,1,128,8,"[""bfcl_v3:multi_turn_base_15""]",6535,6535,6535,5,20,20,2496,64.8886185,66.96794835,4.210789500000001,4.391088,4.234163836688456,4.246788997244095,601.8095255000001,605.1898052,211.94559537068983,213.36315257472978,67445260288,212.893093182837,239.83291065027439,0.5959089309097585,supported
bfcl_v3,b1_long,1,128,9,"[""bfcl_v3:multi_turn_base_11""]",6643,6643,6643,5,20,20,2560,67.0782275,76.77933525000003,4.211046,4.379724750000001,4.230295031496063,4.267354856692914,604.463662,613.91596115,211.75598411049026,213.03302382399312,67445260288,212.68495622849497,225.12135141472228,0.6018293052932732,supported
