schema_version,case,phase,batch,sequence_length,stage,total_gpu_time_us,kernel_count,percentage_of_full_mixer_time,full_mixer_gpu_time_us,denominator_definition,source_report
nemotron3-nsys-nvtx-stage-summary-v2,prefill_b1_s2048,prefill,1,2048,mamba_in_projection,509.754,1,60.82946999122917,838.005,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_prefill_b1_s2048.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,prefill_b1_s2048,prefill,1,2048,mamba_conv1d,12.672,1,1.5121628152576656,838.005,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_prefill_b1_s2048.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,prefill_b1_s2048,prefill,1,2048,mamba_dt_exp,0.864,1,0.10310201013120447,838.005,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_prefill_b1_s2048.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,prefill_b1_s2048,prefill,1,2048,mamba_state_update_output_fused,89.278,5,10.653635718163972,838.005,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_prefill_b1_s2048.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,prefill_b1_s2048,prefill,1,2048,mamba_gate_group_rms_norm,16.479,1,1.9664560473982853,838.005,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_prefill_b1_s2048.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,prefill_b1_s2048,prefill,1,2048,mamba_out_projection,201.79,1,24.079808593027487,838.005,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_prefill_b1_s2048.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b1,decode,1,1,mamba_in_projection,39.936,1,63.44687341128622,62.944,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b1.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b1,decode,1,1,mamba_conv1d,1.216,1,1.9318759532282663,62.944,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b1.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b1,decode,1,1,mamba_dt_exp,0.832,1,1.3218098627351296,62.944,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b1.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b1,decode,1,1,mamba_state_update_output_fused,1.792,1,2.8469750889679717,62.944,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b1.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b1,decode,1,1,mamba_gate_group_rms_norm,1.024,1,1.626842907981698,62.944,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b1.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b1,decode,1,1,mamba_out_projection,15.712,1,24.961870869344178,62.944,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b1.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b8,decode,8,1,mamba_in_projection,16.608,1,36.217725052337755,45.856,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b8.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b8,decode,8,1,mamba_conv1d,1.6,1,3.4891835310537336,45.856,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b8.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b8,decode,8,1,mamba_dt_exp,0.768,1,1.674808094905792,45.856,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b8.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b8,decode,8,1,mamba_state_update_output_fused,6.272,1,13.677599441730635,45.856,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b8.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b8,decode,8,1,mamba_gate_group_rms_norm,1.056,1,2.3028611304954643,45.856,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b8.nsys-rep
nemotron3-nsys-nvtx-stage-summary-v2,decode_b8,decode,8,1,mamba_out_projection,17.44,1,38.032100488485696,45.856,sum of CUDA GPU kernel durations whose CUDA launch API occurs inside the measured nemotron.profile NVTX range; CPU launch gaps are excluded,mamba_decode_b8.nsys-rep
