bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,247173826,prefill_s16,0,0,753664,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 753664, ""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""banked_output_sram"": 0, ""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",0.9969508745638788,1279,16,A_row_gather_static
0,1,246420162,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,B_arlo_stride_postincrement
0,1,246420162,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,C_consumer_major
0,1,247173826,prefill_s16,0,753664,753664,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 753664, ""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""banked_output_sram"": 0, ""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",0.9969508745638788,1279,16,D_affine_layout
0,1,246420162,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,E_stream_addressing
0,1,247173826,prefill_s16,0,753664,753664,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 753664, ""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""banked_output_sram"": 0, ""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",0.9969508745638788,1279,16,F_affine_plus_stream
0,1,246420162,prefill_s16,0,753664,753664,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 753664, ""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""banked_output_sram"": 0, ""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",1.0,1279,16,G_affine_stream_overlap
0,1,246420162,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,H_packet_row_major
0,1,247173826,prefill_s16,0,753664,753664,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 753664, ""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""banked_output_sram"": 0, ""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",0.9969508745638788,1279,16,I_packet_affine
0,1,246420162,prefill_s16,0,753664,753664,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 753664, ""hbm"": 28539890, ""matrix"": 201851520, ""vector"": 16127568}","{""banked_output_sram"": 0, ""hbm"": 27550630, ""matrix"": 0, ""vector"": 0}",1.0,1279,16,J_packet_affine_overlap
0,1,84307000,decode_4,0,0,188416,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 188416, ""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 8862424}","{""banked_output_sram"": 0, ""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",0.9529278470352402,4956,4,A_row_gather_static
0,1,80338488,decode_4,0,0,0,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 5082328}","{""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.0,4864,4,B_arlo_stride_postincrement
0,1,80338488,decode_4,0,0,0,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 5082328}","{""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.0,4864,4,C_consumer_major
0,1,80526904,decode_4,0,188416,188416,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 188416, ""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 5082328}","{""banked_output_sram"": 0, ""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",0.9976602105552201,4956,4,D_affine_layout
0,1,78677520,decode_4,0,0,0,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 3421360}","{""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.0211110873855709,4864,4,E_stream_addressing
0,1,78865936,decode_4,0,188416,188416,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 188416, ""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 3421360}","{""banked_output_sram"": 0, ""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.018671584649677,4956,4,F_affine_plus_stream
0,1,78677520,decode_4,0,188416,188416,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 188416, ""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 3421360}","{""banked_output_sram"": 0, ""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.0211110873855709,4956,4,G_affine_stream_overlap
33161216,1,111991824,decode_4,0,0,0,11698958336,211810816,nemotron3,3768320,0,1507328,2260992,36929536,1507328,decode,11698958336,211810816,"{""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 36735664}","{""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",0.7173602958730273,4864,4,H_packet_row_major
0,1,79042576,decode_4,0,188416,188416,11698958336,211810816,nemotron3,3768320,96468992,1507328,2260992,3768320,1507328,decode,11698958336,211810816,"{""banked_output_sram"": 188416, ""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 3598000}","{""banked_output_sram"": 0, ""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.0163951134386107,4956,4,I_packet_affine
0,1,78854160,decode_4,0,188416,188416,11698958336,211810816,nemotron3,3768320,96468992,1507328,2260992,3768320,1507328,decode,11698958336,211810816,"{""banked_output_sram"": 188416, ""hbm"": 23264064, ""matrix"": 51992832, ""vector"": 3598000}","{""banked_output_sram"": 0, ""hbm"": 19839800, ""matrix"": 0, ""vector"": 0}",1.018823712027368,4956,4,J_packet_affine_overlap
0,1,1797096214,prefill_s128,0,0,6029312,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""banked_output_sram"": 6029312, ""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""banked_output_sram"": 0, ""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",0.9966449698391051,1279,128,A_row_gather_static
0,1,1791066902,prefill_s128,0,0,0,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",1.0,1256,128,B_arlo_stride_postincrement
0,1,1791066902,prefill_s128,0,0,0,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",1.0,1256,128,C_consumer_major
0,1,1797096214,prefill_s128,0,6029312,6029312,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""banked_output_sram"": 6029312, ""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""banked_output_sram"": 0, ""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",0.9966449698391051,1279,128,D_affine_layout
