B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,transactional_64_candidate
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,transactional_64_candidate
80338488,78677520,1.0211110873855709,0,78771728,1.0198898772412355,1.0,78677520,1.0211110873855709,15073280,93903888,1.1894341881772654,78948368,0,1507328,0.9965693021038763,78854160,1.018823712027368,True,16,8,8,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,5.435643564356436,1.6666666666666667,nemotron3,banks_8
2857994376,2839927416,1.0063617682262622,0,2840033400,1.0063242129476364,1.0,2839927416,1.0063617682262622,135659520,2976752760,1.0476318135090952,2841411192,0,13565952,0.9994778031408557,2841305208,1.0058737681376186,True,16,8,8,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.33201189296333,1.0,kimi_k3,banks_8
80338488,78677520,1.0211110873855709,0,79054352,1.016243710403192,1.0,78677520,1.0211110873855709,69337088,148167696,1.8700724585147186,79230992,0,1507328,0.9930144507088842,78854160,1.018823712027368,True,16,2,32,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.35632183908046,1.8888888888888888,nemotron3,banks_32
2857994376,2839927416,1.0063617682262622,0,2840351352,1.0062115639276727,1.0,2839927416,1.0063617682262622,624033792,3465127032,1.219372732730787,2841729144,0,13565952,0.9993659747608937,2841305208,1.0058737681376186,True,16,2,32,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,3.4877371587228136,1.0,kimi_k3,banks_32
80338488,78677520,1.0211110873855709,0,79431184,1.0114225163759363,1.0,78677520,1.0211110873855709,141688832,220519440,2.7700724491602733,79607824,0,1507328,0.9883139124616696,78854160,1.018823712027368,True,16,1,64,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.427466150870407,1.9411764705882353,nemotron3,banks_64
2857994376,2839927416,1.0063617682262622,0,2840775288,1.0060614044598095,1.0,2839927416,1.0063617682262622,1275199488,4116292728,1.4483008522538836,2842153080,0,13565952,0.9992169091750681,2841305208,1.0058737681376186,True,16,1,64,4,1000,2,0,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,3.9083040302948335,1.0,kimi_k3,banks_64
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,45219840,124050448,1.5694130211545738,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,False,16,4,16,4,1000,2,0,64,64,512,4,64,4,8,64,64,1,8,1,64,1,1,10.746192893401016,3.4,nemotron3,read_ports_1
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,406978560,3248071800,1.1430766026803703,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,False,16,4,16,4,1000,2,0,64,64,512,4,64,4,8,64,64,1,8,1,64,1,1,4.025323579065842,1.8888888888888888,kimi_k3,read_ports_1
