B_cycles,F_cycles,F_logical_hbm_bytes,F_speedup_vs_B,accuracy,accuracy_status,activation_precision,model,state_precision,swept_axis,swept_value,weight_precision
18046655,17678517,1934421104,1.0208240317895443,"{""hbm_reduction_vs_fp32"": 0.0, ""output_relative_l2_mean"": 0.0, ""schedule"": ""chunk128"", ""sequence_length"": 32768, ""state_relative_l2_mean"": 0.0, ""state_total_bytes"": 2097152, ""status"": ""measured_real_shape_random_weights""}",measured_real_shape_random_weights,bf16,nemotron3,fp32,state,fp32,nvfp4
17948031,17579893,1883925616,1.020940855555833,"{""hbm_reduction_vs_fp32"": 0.5, ""output_relative_l2_mean"": 0.00031241314694704236, ""schedule"": ""chunk128"", ""sequence_length"": 32768, ""state_relative_l2_mean"": 0.001667918069863536, ""state_total_bytes"": 1048576, ""status"": ""measured_real_shape_random_weights""}",measured_real_shape_random_weights,bf16,nemotron3,bf16,state,bf16,nvfp4
17948031,17579893,1883925616,1.020940855555833,"{""hbm_reduction_vs_fp32"": 0.5, ""output_relative_l2_mean"": 0.00014179012876617766, ""schedule"": ""chunk128"", ""sequence_length"": 32768, ""state_relative_l2_mean"": 0.00020686635725325304, ""state_total_bytes"": 1048576, ""status"": ""measured_real_shape_random_weights""}",measured_real_shape_random_weights,bf16,nemotron3,fp16,state,fp16,nvfp4
17899133,17530995,1858875120,1.020999264445629,"{""hbm_reduction_vs_fp32"": 0.748046875, ""output_relative_l2_mean"": 0.0008060857982586665, ""schedule"": ""chunk128"", ""sequence_length"": 32768, ""state_relative_l2_mean"": 0.026866347683043326, ""state_total_bytes"": 528384, ""status"": ""measured_real_shape_random_weights""}",measured_real_shape_random_weights,bf16,nemotron3,mx8,state,mx8,nvfp4
18029425,17661287,1925540958,1.0208443473003979,"{""status"": ""not_measured""}",not_measured,mx8,nemotron3,fp32,activation,mx8,nvfp4
27108558,26740420,6574108800,1.0137670986469174,"{""status"": ""not_measured""}",not_measured,bf16,nemotron3,fp32,weight,bf16,bf16
555078833,550615085,56319892480,1.008106839281383,"{""status"": ""not_measured""}",not_measured,bf16,kimi_k3,fp32,state,fp32,mxfp4
554230961,549767213,55885782016,1.0081193419586483,"{""status"": ""not_measured""}",not_measured,bf16,kimi_k3,bf16,state,bf16,mxfp4
554230961,549767213,55885782016,1.0081193419586483,"{""status"": ""not_measured""}",not_measured,bf16,kimi_k3,fp16,state,fp16,mxfp4
553810337,549346589,55670422528,1.0081255587808884,"{""status"": ""not_measured""}",not_measured,bf16,kimi_k3,mx8,state,mx8,mxfp4
555020027,550556279,56289655824,1.0081077051888458,"{""status"": ""not_measured""}",not_measured,mx8,kimi_k3,fp32,activation,mx8,mxfp4
853958660,849494912,209346429952,1.0052545906243169,"{""status"": ""not_measured""}",not_measured,bf16,kimi_k3,fp32,weight,bf16,bf16
