bank_conflict_stall_cycles,batch_scaling_efficiency,batch_size,by_layer_type,context_length,cycles,cycles_per_decode_step,cycles_per_output_token,decode_tokens,logical_hbm_read_bytes,logical_hbm_write_bytes,model,output_tokens,packet_ops,physical_hbm_read_bytes,physical_hbm_write_bytes,request_tpot_us_proxy,resource_utilization,routing_assumption,speedup_vs_arlo_same_batch,throughput_scaling_vs_b1,throughput_tokens_per_second_proxy,variant
0,1.0,1,"{""attention"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 6176754, ""hbm_cycles"": 6025536, ""layout_service_cycles"": 0, ""matrix_cycles"": 118152, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 33066}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 256, ""hbm_cycles"": 256, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 14631808, ""hbm_cycles"": 14459776, ""layout_service_cycles"": 0, ""matrix_cycles"": 172032, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mamba"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 57496288, ""hbm_cycles"": 19255936, ""layout_service_cycles"": 0, ""matrix_cycles"": 434976, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 37807584}, ""moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 22277984, ""hbm_cycles"": 21354304, ""layout_service_cycles"": 0, ""matrix_cycles"": 901600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 22080}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 608, ""hbm_cycles"": 384, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 224}}",2048,100583698,3143240.5625,3143240.5625,32,93594419200,1694486528,nemotron3,32,0,93594419200,1694486528,3143.2405625,"{""hbm"": 0.6074164423741907, ""matrix"": 0.016173197370412846, ""vector"": 0.37643231212278555}",full_overlap,1.0,1.0,318.14300563894557,B_arlo_stride_postincrement
0,1.0,1,"{""attention"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 6176754, ""hbm_cycles"": 6025536, ""layout_service_cycles"": 0, ""matrix_cycles"": 118152, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 33066}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 256, ""hbm_cycles"": 256, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 14631808, ""hbm_cycles"": 14459776, ""layout_service_cycles"": 0, ""matrix_cycles"": 172032, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mamba"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 44208544, ""hbm_cycles"": 19255936, ""layout_service_cycles"": 0, ""matrix_cycles"": 434976, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 24519840}, ""moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 22277984, ""hbm_cycles"": 21354304, ""layout_service_cycles"": 0, ""matrix_cycles"": 901600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 22080}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 608, ""hbm_cycles"": 384, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 224}}",2048,87295954,2727998.5625,2727998.5625,32,93594419200,1694486528,nemotron3,32,0,93594419200,1694486528,2727.9985625,"{""hbm"": 0.6998742690869728, ""matrix"": 0.01863499882251129, ""vector"": 0.28151602535897596}",full_overlap,1.1522148895927067,1.0,366.5691081169696,E_stream_addressing
17334272,1.0,1,"{""attention"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 6176754, ""hbm_cycles"": 6025536, ""layout_service_cycles"": 0, ""matrix_cycles"": 118152, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 33066}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 256, ""hbm_cycles"": 256, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 14631808, ""hbm_cycles"": 14459776, ""layout_service_cycles"": 0, ""matrix_cycles"": 172032, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mamba"": {""bank_conflict_stall_cycles"": 17334272, ""cycles"": 50897312, ""hbm_cycles"": 19255936, ""layout_service_cycles"": 0, ""matrix_cycles"": 434976, ""packet_ops"": 376832, ""packet_service_cycles"": 18276352, ""vector_cycles"": 31208608}, ""moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 22277984, ""hbm_cycles"": 21354304, ""layout_service_cycles"": 0, ""matrix_cycles"": 901600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 22080}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 608, ""hbm_cycles"": 384, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 224}}",2048,93984722,2937022.5625,2937022.5625,32,93594419200,1694486528,nemotron3,32,376832,93594419200,1694486528,2937.0225625,"{""hbm"": 0.6500651456946375, ""matrix"": 0.017308770674450684, ""vector"": 0.33264957681100554}",full_overlap,1.070213284239964,1.0,340.48087092282935,H_packet_row_major
0,1.0,1,"{""attention"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 6176754, ""hbm_cycles"": 6025536, ""layout_service_cycles"": 0, ""matrix_cycles"": 118152, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 33066}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 256, ""hbm_cycles"": 256, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 14631808, ""hbm_cycles"": 14459776, ""layout_service_cycles"": 0, ""matrix_cycles"": 172032, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mamba"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 33845664, ""hbm_cycles"": 19255936, ""layout_service_cycles"": 94208, ""matrix_cycles"": 434976, ""packet_ops"": 376832, ""packet_service_cycles"": 942080, ""vector_cycles"": 14062752}, ""moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 22277984, ""hbm_cycles"": 21354304, ""layout_service_cycles"": 0, ""matrix_cycles"": 901600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 22080}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 608, ""hbm_cycles"": 384, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 224}}",2048,76933074,2404158.5625,2404158.5625,32,93594419200,1694486528,nemotron3,32,376832,93594419200,1694486528,2404.1585625,"{""banked_output_sram"": 0.0012245448557014634, ""hbm"": 0.7941472870302829, ""matrix"": 0.021145131936363287, ""vector"": 0.1835117364477078}",full_overlap,1.3074181593211782,1.0,415.9459428333775,I_packet_affine
0,1.0,1,"{""attention"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 6176754, ""hbm_cycles"": 6025536, ""layout_service_cycles"": 0, ""matrix_cycles"": 118152, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 33066}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 256, ""hbm_cycles"": 256, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 14631808, ""hbm_cycles"": 14459776, ""layout_service_cycles"": 0, ""matrix_cycles"": 172032, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mamba"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 33751456, ""hbm_cycles"": 19255936, ""layout_service_cycles"": 94208, ""matrix_cycles"": 434976, ""packet_ops"": 376832, ""packet_service_cycles"": 942080, ""vector_cycles"": 14062752}, ""moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 22277984, ""hbm_cycles"": 21354304, ""layout_service_cycles"": 0, ""matrix_cycles"": 901600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 22080}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 608, ""hbm_cycles"": 384, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 224}}",2048,76838866,2401214.5625,2401214.5625,32,93594419200,1694486528,nemotron3,32,376832,93594419200,1694486528,2401.2145625,"{""banked_output_sram"": 0.001226046204273759, ""hbm"": 0.7951209482971807, ""matrix"": 0.021171056845112734, ""vector"": 0.18373673031561918}",full_overlap,1.3090211143928125,1.0,416.45591177777146,J_packet_affine_overlap
0,1.0,1,"{""attn_res"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 808960, ""hbm_cycles"": 113088, ""layout_service_cycles"": 0, ""matrix_cycles"": 9600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 686272}, ""dense"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 30171904, ""hbm_cycles"": 29812160, ""layout_service_cycles"": 0, ""matrix_cycles"": 354816, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 4928}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 416, ""hbm_cycles"": 416, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""kda"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1550252256, ""hbm_cycles"": 1274855040, ""layout_service_cycles"": 0, ""matrix_cycles"": 14945952, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 260451264}, ""latent_moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1279912832, ""hbm_cycles"": 1246716288, ""layout_service_cycles"": 0, ""matrix_cycles"": 32272128, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 924416}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 48760928, ""hbm_cycles"": 48187488, ""layout_service_cycles"": 0, ""matrix_cycles"": 573440, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mla"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 235230024, ""hbm_cycles"": 229802760, ""layout_service_cycles"": 0, ""matrix_cycles"": 5247120, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 180144}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 896, ""hbm_cycles"": 320, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 576}}",2048,3145138216,98285569.25,98285569.25,32,4399355468800,14586183680,kimi_k3,32,0,4399355469824,14586183680,98285.56925,"{""hbm"": 0.8996385423081833, ""matrix"": 0.016979557759441884, ""vector"": 0.08338189993237487}",full_overlap,1.0,1.0,10.17443361859554,B_arlo_stride_postincrement
0,1.0,1,"{""attn_res"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 808960, ""hbm_cycles"": 113088, ""layout_service_cycles"": 0, ""matrix_cycles"": 9600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 686272}, ""dense"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 30171904, ""hbm_cycles"": 29812160, ""layout_service_cycles"": 0, ""matrix_cycles"": 354816, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 4928}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 416, ""hbm_cycles"": 416, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""kda"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1473943776, ""hbm_cycles"": 1274855040, ""layout_service_cycles"": 0, ""matrix_cycles"": 14945952, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 184142784}, ""latent_moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1279912832, ""hbm_cycles"": 1246716288, ""layout_service_cycles"": 0, ""matrix_cycles"": 32272128, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 924416}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 48760928, ""hbm_cycles"": 48187488, ""layout_service_cycles"": 0, ""matrix_cycles"": 573440, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mla"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 235230024, ""hbm_cycles"": 229802760, ""layout_service_cycles"": 0, ""matrix_cycles"": 5247120, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 180144}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 896, ""hbm_cycles"": 320, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 576}}",2048,3068829736,95900929.25,95900929.25,32,4399355468800,14586183680,kimi_k3,32,0,4399355469824,14586183680,95900.92925,"{""hbm"": 0.9220086493583168, ""matrix"": 0.017401765687270438, ""vector"": 0.06058958495441273}",full_overlap,1.02486566103842,1.0,10.42742763621344,E_stream_addressing
156008448,1.0,1,"{""attn_res"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 808960, ""hbm_cycles"": 113088, ""layout_service_cycles"": 0, ""matrix_cycles"": 9600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 686272}, ""dense"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 30171904, ""hbm_cycles"": 29812160, ""layout_service_cycles"": 0, ""matrix_cycles"": 354816, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 4928}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 416, ""hbm_cycles"": 416, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""kda"": {""bank_conflict_stall_cycles"": 156008448, ""cycles"": 1583743200, ""hbm_cycles"": 1274855040, ""layout_service_cycles"": 0, ""matrix_cycles"": 14945952, ""packet_ops"": 3391488, ""packet_service_cycles"": 164487168, ""vector_cycles"": 293942208}, ""latent_moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1279912832, ""hbm_cycles"": 1246716288, ""layout_service_cycles"": 0, ""matrix_cycles"": 32272128, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 924416}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 48760928, ""hbm_cycles"": 48187488, ""layout_service_cycles"": 0, ""matrix_cycles"": 573440, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mla"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 235230024, ""hbm_cycles"": 229802760, ""layout_service_cycles"": 0, ""matrix_cycles"": 5247120, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 180144}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 896, ""hbm_cycles"": 320, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 576}}",2048,3178629160,99332161.25,99332161.25,32,4399355468800,14586183680,kimi_k3,32,3391488,4399355469824,14586183680,99332.16125,"{""hbm"": 0.8901596938725623, ""matrix"": 0.016800656292978826, ""vector"": 0.09303964983445882}",full_overlap,0.9894637146033103,1.0,10.067232882240342,H_packet_row_major
0,1.0,1,"{""attn_res"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 808960, ""hbm_cycles"": 113088, ""layout_service_cycles"": 0, ""matrix_cycles"": 9600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 686272}, ""dense"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 30171904, ""hbm_cycles"": 29812160, ""layout_service_cycles"": 0, ""matrix_cycles"": 354816, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 4928}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 416, ""hbm_cycles"": 416, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""kda"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1428688608, ""hbm_cycles"": 1274855040, ""layout_service_cycles"": 105984, ""matrix_cycles"": 14945952, ""packet_ops"": 3391488, ""packet_service_cycles"": 8478720, ""vector_cycles"": 138781632}, ""latent_moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1279912832, ""hbm_cycles"": 1246716288, ""layout_service_cycles"": 0, ""matrix_cycles"": 32272128, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 924416}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 48760928, ""hbm_cycles"": 48187488, ""layout_service_cycles"": 0, ""matrix_cycles"": 573440, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mla"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 235230024, ""hbm_cycles"": 229802760, ""layout_service_cycles"": 0, ""matrix_cycles"": 5247120, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 180144}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 896, ""hbm_cycles"": 320, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 576}}",2048,3023574568,94486705.25,94486705.25,32,4399355468800,14586183680,kimi_k3,32,3391488,4399355469824,14586183680,94486.70525,"{""banked_output_sram"": 3.5052550422166405e-05, ""hbm"": 0.9358087576029644, ""matrix"": 0.017662225554213616, ""vector"": 0.04649396429239975}",full_overlap,1.0402052753342248,1.0,10.583499523600967,I_packet_affine
0,1.0,1,"{""attn_res"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 808960, ""hbm_cycles"": 113088, ""layout_service_cycles"": 0, ""matrix_cycles"": 9600, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 686272}, ""dense"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 30171904, ""hbm_cycles"": 29812160, ""layout_service_cycles"": 0, ""matrix_cycles"": 354816, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 4928}, ""embedding"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 416, ""hbm_cycles"": 416, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""kda"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1428582624, ""hbm_cycles"": 1274855040, ""layout_service_cycles"": 105984, ""matrix_cycles"": 14945952, ""packet_ops"": 3391488, ""packet_service_cycles"": 8478720, ""vector_cycles"": 138781632}, ""latent_moe"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 1279912832, ""hbm_cycles"": 1246716288, ""layout_service_cycles"": 0, ""matrix_cycles"": 32272128, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 924416}, ""lm_head"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 48760928, ""hbm_cycles"": 48187488, ""layout_service_cycles"": 0, ""matrix_cycles"": 573440, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 0}, ""mla"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 235230024, ""hbm_cycles"": 229802760, ""layout_service_cycles"": 0, ""matrix_cycles"": 5247120, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 180144}, ""output"": {""bank_conflict_stall_cycles"": 0, ""cycles"": 896, ""hbm_cycles"": 320, ""layout_service_cycles"": 0, ""matrix_cycles"": 0, ""packet_ops"": 0, ""packet_service_cycles"": 0, ""vector_cycles"": 576}}",2048,3023468584,94483393.25,94483393.25,32,4399355468800,14586183680,kimi_k3,32,3391488,4399355469824,14586183680,94483.39325,"{""banked_output_sram"": 3.5053779146527425e-05, ""hbm"": 0.9358415612364769, ""matrix"": 0.01766284468196743, ""vector"": 0.0464955940815557}",full_overlap,1.0402417384602134,1.0,10.583870515255866,J_packet_affine_overlap
