B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,plena_paper_2048_candidate
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,plena_paper_2048_candidate
12572678,10911710,1.152218854789946,0,10935262,1.1497372445214389,1.0,10911710,1.152218854789946,4427776,14008798,1.454986982928973,9628126,0,47104,1.1333160783313387,9604574,1.309030259957391,True,16,32,64,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,6.853658536585366,1.3333333333333333,nemotron3,banks_64
393139028,383600468,1.0248658716443484,0,383626964,1.0247950871357416,1.0,383600468,1.0248658716443484,39849984,417674324,1.105084766032268,377956820,0,423936,1.0149319914375403,377930324,1.0402420844113054,True,16,32,64,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.776878612716763,1.0,kimi_k3,banks_64
12572678,10911710,1.152218854789946,0,10958814,1.147266300897159,0.9992501761463339,10919898,1.1513548936079805,8949760,18530782,1.919954436938323,9651678,0,47104,1.1305505633320962,9612762,1.3079152484998589,True,16,16,128,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,7.575342465753424,1.5,nemotron3,banks_128
393139028,383600468,1.0248658716443484,0,383653460,1.0247243124042202,1.0,383600468,1.0248658716443484,80547840,458372180,1.2126783394852274,377983316,0,423936,1.0148608463977813,377930324,1.0402420844113054,True,16,16,128,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,2.271523178807947,1.0,kimi_k3,banks_128
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2920448,12501470,1.3000223577552814,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,False,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,1,8,1,2048,1,1,10.92,1.6,nemotron3,read_ports_1
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,26284032,404108372,1.0692293822105274,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,False,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,1,8,1,2048,1,1,1.9362808842652797,1.5,kimi_k3,read_ports_1
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,1413120,10994142,1.1432759830912977,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,2,5.8,1.2,nemotron3,write_ports_2
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,12718080,390542420,1.0333352620163097,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,2,1.436931079323797,1.0,kimi_k3,write_ports_2
12572678,10911710,1.152218854789946,0,10911710,1.152218854789946,1.0,10911710,1.152218854789946,2166784,11747806,1.223147013079393,9604574,0,47104,1.136095156328641,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,2048,64,1560,1,128,4,1,64,2048,2,8,1,2048,1,1,1.4956437560503388,1.0,nemotron3,parallel_1
393139028,383600468,1.0248658716443484,0,383600468,1.0248658716443484,1.0,383600468,1.0248658716443484,19501056,397325396,1.0513191738485637,377930324,0,423936,1.0150031464529954,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,1,128,4,1,64,2048,2,8,1,2048,1,1,1.1816461684011352,1.0,kimi_k3,parallel_1
12572678,10911710,1.152218854789946,0,11100126,1.132660836462577,0.9864842996381047,11061210,1.1366458099972787,2166784,11747806,1.1996138053852807,9792990,0,47104,1.1142368163349499,9754074,1.2889668460583752,True,16,64,32,32,1000,2,0,2048,64,1560,2,128,4,2,64,2048,2,8,1,2048,1,1,2.449056603773585,1.0,nemotron3,parallel_2
393139028,383600468,1.0248658716443484,0,383626964,1.0247950871357416,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512454729616998,377956820,0,423936,1.0149319914375403,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,2,128,4,2,64,2048,2,8,1,2048,1,1,1.3329479768786128,1.0,kimi_k3,parallel_2
12572678,10911710,1.152218854789946,0,10958814,1.147266300897159,0.9992501761463339,10919898,1.1513548936079805,2166784,11747806,1.217177572645917,9651678,0,47104,1.1305505633320962,9612762,1.3079152484998589,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,4,64,2048,2,8,1,2048,1,1,4.068493150684931,1.0,nemotron3,parallel_4
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,4,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,parallel_4
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,2048,64,1560,8,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,parallel_8
393139028,383600468,1.0248658716443484,0,383607092,1.0248481746004843,1.0,383600468,1.0248658716443484,19501056,397325396,1.0513007476580458,377936948,0,423936,1.0149853567637954,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,8,128,4,8,64,2048,2,8,1,2048,1,1,1.4993065187239945,1.3333333333333333,kimi_k3,parallel_8
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,2048,64,1560,16,128,4,16,64,2048,2,8,1,2048,1,1,5.8,1.3333333333333333,nemotron3,parallel_16
393139028,383600468,1.0248658716443484,0,383603780,1.024857023046019,1.0,383600468,1.0248658716443484,19501056,397325396,1.0513099606725664,377933636,0,423936,1.014994251530446,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,16,128,4,16,64,2048,2,8,1,2048,1,1,1.533715925394548,1.6,kimi_k3,parallel_16
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,0.9989219558664697,10923486,1.1509767120129966,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9616350,1.307427246304471,True,16,64,32,32,1000,2,0,0,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,fifo_0
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,0.9999654652598501,383613716,1.0248304781677826,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377943572,1.0402056209597341,True,16,64,32,32,1000,2,0,0,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,fifo_0
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,0.9989219558664697,10923486,1.1509767120129966,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9616350,1.307427246304471,True,16,64,32,32,1000,2,0,512,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,fifo_512
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,0.9999654652598501,383613716,1.0248304781677826,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377943572,1.0402056209597341,True,16,64,32,32,1000,2,0,512,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,fifo_512
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,0.9989219558664697,10923486,1.1509767120129966,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9616350,1.307427246304471,True,16,64,32,32,1000,2,0,1024,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,fifo_1024
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,0.9999654652598501,383613716,1.0248304781677826,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377943572,1.0402056209597341,True,16,64,32,32,1000,2,0,1024,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,fifo_1024
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,4096,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,fifo_4096
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,4096,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,fifo_4096
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,False,16,64,32,32,1000,2,0,2048,64,1560,4,128,1,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,slots_1
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,False,16,64,32,32,1000,2,0,2048,64,1560,4,128,1,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,slots_1
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,False,16,64,32,32,1000,2,0,2048,64,1560,4,128,2,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,slots_2
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,False,16,64,32,32,1000,2,0,2048,64,1560,4,128,2,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,slots_2
12572678,10911710,1.152218854789946,0,10923486,1.1509767120129966,1.0,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,8,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,slots_8
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,8,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,slots_8
191041644,189380676,1.0087705252461978,0,189392452,1.0087078021462017,1.0,189380676,1.0087705252461978,2166784,190216772,1.0113323891802377,188085316,0,47104,1.0068870873471059,188073540,1.015781613936761,True,16,64,32,32,1000,2,0,2048,64,64,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_64
8660409676,8650871116,1.0011026126585516,0,8650884364,1.001101079565881,1.0,8650871116,1.0011026126585516,19501056,8664596044,1.0022419136769523,8645214220,0,423936,1.0006543384415985,8645200972,1.001759207686352,True,16,64,32,32,1000,2,0,2048,64,64,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_64
