bank_conflict_stall_cycles,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,10319750,prefill_s16,0,0,47104,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""banked_output_sram"": 47104, ""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""banked_output_sram"": 0, ""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",0.9954355483417718,1275,16,A_row_gather_static
0,10272646,prefill_s16,0,0,0,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",1.0,1252,16,B_arlo_stride_postincrement
0,10272646,prefill_s16,0,0,0,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",1.0,1252,16,C_consumer_major
0,10319750,prefill_s16,0,47104,47104,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""banked_output_sram"": 47104, ""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""banked_output_sram"": 0, ""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",0.9954355483417718,1275,16,D_affine_layout
0,10272646,prefill_s16,0,0,0,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",1.0,1252,16,E_stream_addressing
0,10319750,prefill_s16,0,47104,47104,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""banked_output_sram"": 47104, ""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""banked_output_sram"": 0, ""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",0.9954355483417718,1275,16,F_affine_plus_stream
0,10272646,prefill_s16,0,47104,47104,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""banked_output_sram"": 47104, ""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""banked_output_sram"": 0, ""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",1.0,1275,16,G_affine_stream_overlap
0,10272646,prefill_s16,0,0,0,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",1.0,1252,16,H_packet_row_major
0,10319750,prefill_s16,0,47104,47104,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""banked_output_sram"": 47104, ""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""banked_output_sram"": 0, ""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",0.9954355483417718,1275,16,I_packet_affine
0,10272646,prefill_s16,0,47104,47104,14522507776,89724928,nemotron3,0,0,0,0,0,0,prefill,14522507776,89724928,"{""banked_output_sram"": 47104, ""hbm"": 9367303, ""matrix"": 788494, ""vector"": 122826}","{""banked_output_sram"": 0, ""hbm"": 9068825, ""matrix"": 0, ""vector"": 0}",1.0,1275,16,J_packet_affine_overlap
0,16362358,decode_4,0,0,11776,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""banked_output_sram"": 11776, ""hbm"": 7636754, ""matrix"": 203306, ""vector"": 8510798}","{""banked_output_sram"": 0, ""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",0.7682563845626651,4940,4,A_row_gather_static
0,12570486,decode_4,0,0,0,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""hbm"": 7636754, ""matrix"": 203306, ""vector"": 4730702}","{""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.0,4848,4,B_arlo_stride_postincrement
0,12570486,decode_4,0,0,0,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""hbm"": 7636754, ""matrix"": 203306, ""vector"": 4730702}","{""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.0,4848,4,C_consumer_major
0,12582262,decode_4,0,11776,11776,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""banked_output_sram"": 11776, ""hbm"": 7636754, ""matrix"": 203306, ""vector"": 4730702}","{""banked_output_sram"": 0, ""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",0.999064079256973,4940,4,D_affine_layout
0,10909518,decode_4,0,0,0,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""hbm"": 7636754, ""matrix"": 203306, ""vector"": 3069734}","{""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.1522494394344462,4848,4,E_stream_addressing
0,10921294,decode_4,0,11776,11776,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""banked_output_sram"": 11776, ""hbm"": 7636754, ""matrix"": 203306, ""vector"": 3069734}","{""banked_output_sram"": 0, ""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.151007014370275,4940,4,F_affine_plus_stream
0,10909518,decode_4,0,11776,11776,11698915328,211789312,nemotron3,0,0,0,0,0,0,decode,11698915328,211789312,"{""banked_output_sram"": 11776, ""hbm"": 7636754, ""matrix"": 203306, ""vector"": 3069734}","{""banked_output_sram"": 0, ""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.1522494394344462,4940,4,G_affine_stream_overlap
2166784,11745614,decode_4,0,0,0,11698915328,211789312,nemotron3,117760,0,47104,70656,2284544,47104,decode,11698915328,211789312,"{""hbm"": 7636754, ""matrix"": 203306, ""vector"": 3905830}","{""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.0702280868416074,4848,4,H_packet_row_major
0,9614158,decode_4,0,11776,11776,11698915328,211789312,nemotron3,117760,96468992,47104,70656,117760,47104,decode,11698915328,211789312,"{""banked_output_sram"": 11776, ""hbm"": 7636754, ""matrix"": 203306, ""vector"": 1762598}","{""banked_output_sram"": 0, ""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.3074973388205187,4940,4,I_packet_affine
0,9602382,decode_4,0,11776,11776,11698915328,211789312,nemotron3,117760,96468992,47104,70656,117760,47104,decode,11698915328,211789312,"{""banked_output_sram"": 11776, ""hbm"": 7636754, ""matrix"": 203306, ""vector"": 1762598}","{""banked_output_sram"": 0, ""hbm"": 6511944, ""matrix"": 0, ""vector"": 0}",1.3091008043629175,4940,4,J_packet_affine_overlap
