B_cycles,E_cycles,E_stream_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,model,ordinary_recurrent_useful_lane_fraction,point
12921700,11260732,1.1475008907058617,69337088,80750908,6.835069717773623,11814204,0,1507328,0.9531519855252203,11775288,1.0973574489218438,16,2,32,32,1000,2,0,64,64,1560,4,64,4,8,64,2048,2,8,1,64,1,1,nemotron3,1.0,paper_vector_lanes_64
432513540,414446580,1.0435929764458425,624033792,1039646196,2.4976586715638973,416248308,0,13565952,0.9956715067295842,415824372,1.040135136667747,16,2,32,32,1000,2,0,64,64,1560,4,64,4,8,64,2048,2,8,1,64,1,1,kimi_k3,1.0,paper_vector_lanes_64
12741228,11080260,1.1499033416183375,34668544,45148228,4.222755099024922,10691652,0,753664,1.036346862019078,10652736,1.1960521691328876,16,4,32,32,1000,2,0,128,64,1560,4,128,4,8,64,2048,2,8,1,128,1,1,nemotron3,0.5,paper_vector_lanes_128
397291700,387753140,1.0245995686843439,312016896,700352948,1.801995967601044,388654004,0,6782976,0.9976820925791877,388442036,1.0227824570459207,16,4,32,32,1000,2,0,128,64,1560,4,128,4,8,64,2048,2,8,1,128,1,1,kimi_k3,1.0,paper_vector_lanes_128
12651484,10990516,1.1511273901971482,17334272,27347380,2.6994113436282063,10130868,0,376832,1.0848543283754166,10091952,1.2536211032315652,16,8,32,32,1000,2,0,256,64,1560,4,128,4,8,64,2048,2,8,1,256,1,1,nemotron3,0.25,paper_vector_lanes_256
395076612,385538052,1.024740904174097,156008448,538737924,1.406841522225001,382941444,0,3391488,1.0067806920370834,382835460,1.0319749690898539,16,8,32,32,1000,2,0,256,64,1560,4,128,4,8,64,2048,2,8,1,256,1,1,kimi_k3,0.5,paper_vector_lanes_256
12606474,10945506,1.1517488547354504,8667136,18446818,1.8727091395239432,9850338,0,188416,1.1111807533914064,9811422,1.2848773602847783,16,16,32,32,1000,2,0,512,64,1560,4,128,4,8,64,2048,2,8,1,512,1,1,nemotron3,0.125,paper_vector_lanes_512
393968700,384430140,1.0248122064518665,78004224,457930044,1.2048102129294327,380084796,0,1695744,1.0114325646427593,380031804,1.036672972770458,16,16,32,32,1000,2,0,512,64,1560,4,128,4,8,64,2048,2,8,1,512,1,1,kimi_k3,0.25,paper_vector_lanes_512
12583914,10922946,1.152062273309783,4333568,13996482,1.4414475853700786,9710018,0,94208,1.124915113442632,9686466,1.2991233335253538,16,32,32,32,1000,2,0,1024,64,1560,4,128,4,8,64,2048,2,8,1,1024,1,1,nemotron3,0.0625,paper_vector_lanes_1024
393414864,383876304,1.0248480041633412,39002112,417526224,1.1026514071620863,378656592,0,847872,1.0137848174580306,378630096,1.0390480528520902,16,32,32,32,1000,2,0,1024,64,1560,4,128,4,8,64,2048,2,8,1,1024,1,1,kimi_k3,0.125,paper_vector_lanes_1024
12572678,10911710,1.152218854789946,2166784,11747806,1.2216491704232895,9616350,0,47104,1.134703915726861,9604574,1.309030259957391,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,nemotron3,0.03125,paper_vector_lanes_2048
393139028,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,16,64,32,32,1000,2,0,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,kimi_k3,0.0625,paper_vector_lanes_2048
