benchmark,batch_size,group_count,statistical_unit,p95_status,padding_fraction_median,padding_fraction_p95,active_experts_median_median,active_experts_median_p95,active_experts_p95_median,active_experts_p95_p95,gpu_ttft_ms_median_median,gpu_ttft_ms_median_p95,gpu_itl_ms_median_median,gpu_itl_ms_median_p95,gpu_e2e_ms_median_median,gpu_e2e_ms_median_p95,gpu_batch_throughput_tokens_s_median_median,gpu_batch_throughput_tokens_s_median_p95,gpu_batch_energy_joules_median_median,gpu_batch_energy_joules_median_p95,A_original_cycles_median,A_original_cycles_p95,B_arlo_cycles_median,B_arlo_cycles_p95,C_fixed_cycles_median,C_fixed_cycles_p95,D_phased_cycles_median,D_phased_cycles_p95,D_speedup_vs_A_median,D_speedup_vs_A_p95,D_speedup_vs_B_median,D_speedup_vs_B_p95,D_speedup_vs_B_ideal_resource_overlap_median,D_speedup_vs_B_ideal_resource_overlap_p95,D_speedup_vs_C_median,D_speedup_vs_C_p95,D_tpot_ms_proxy_median,D_tpot_ms_proxy_p95,D_tpot_ms_ideal_resource_overlap_lower_bound_median,D_tpot_ms_ideal_resource_overlap_lower_bound_p95,D_aggregate_throughput_tokens_s_proxy_median,D_aggregate_throughput_tokens_s_proxy_p95,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_median,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_p95,B_ideal_resource_overlap_cycles_median,B_ideal_resource_overlap_cycles_p95,D_ideal_resource_overlap_cycles_median,D_ideal_resource_overlap_cycles_p95,D_vs_D_prime_pure_bank_speedup_median,D_vs_D_prime_pure_bank_speedup_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_p95,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_p95,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_p95,uniform_mxfp8_D_speedup_vs_B_serial_median,uniform_mxfp8_D_speedup_vs_B_serial_p95,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_median,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_p95,uniform_mxfp8_D_logical_weight_read_bytes_median,uniform_mxfp8_D_logical_weight_read_bytes_p95,uniform_mxfp8_D_physical_hbm_read_bytes_median,uniform_mxfp8_D_physical_hbm_read_bytes_p95,uniform_bf16_D_speedup_vs_B_serial_median,uniform_bf16_D_speedup_vs_B_serial_p95,uniform_bf16_D_speedup_vs_B_ideal_overlap_median,uniform_bf16_D_speedup_vs_B_ideal_overlap_p95,uniform_bf16_D_logical_weight_read_bytes_median,uniform_bf16_D_logical_weight_read_bytes_p95,uniform_bf16_D_physical_hbm_read_bytes_median,uniform_bf16_D_physical_hbm_read_bytes_p95,D_bank_stall_cycles_max
all,1,48,length-sorted disjoint workload group,descriptive_at_least_20_groups,0.0,0.0,6.0,6.0,6.0,6.0,81.540761,84.273451075,4.45059225,4.487375775,220.80467249999998,223.58550150000002,144.92021881305797,146.86337039514075,63.23397809366813,85.52117156929634,129586317.0,130526807.4,99345549.0,100286039.4,69994605.0,70935095.4,64274413.0,65214903.400000006,2.016141589652478,2.018282575583182,1.5456469296310558,1.5467965946101965,1.0,1.0,1.088996410087775,1.0891839233869267,2.0085754062500003,2.03796573125,1.8723599375000002,1.894802721875,497.8653029144474,498.9142931533865,534.0853443937808,535.00709682037,59915518.0,60633687.099999994,59915518.0,60633687.099999994,1.0,1.0,1.5456469296310558,1.5467965946101965,1.0,1.0,91481169920.0,91481169920.0,92572336128.0,93692677324.8,1.4847054415878218,1.485612429593545,1.0,1.0,104090298144.0,104090298144.0,105181560832.0,106301902028.8,1.2540520442928842,1.254300990125266,1.0,1.0,206566793216.0,206566793216.0,207657959424.0,208778300620.8,0
all,2,24,length-sorted disjoint workload group,descriptive_at_least_20_groups,0.018003123921572467,0.1294270067627168,11.0,11.0,12.0,12.0,80.81871525,93.74949885,5.092428999999999,5.1081243249999995,239.206621,252.76246425,267.44205644975955,270.9414215880314,75.1271850399225,125.70723076581724,213238038.0,215485836.6,152756502.0,155004300.6,94054614.0,96302412.6,82614230.0,84862028.6,2.581130422532371,2.6224901700079233,1.8490341987636778,1.8712435241669114,1.023932736870869,1.052346512932867,1.1384796498035992,1.1421020475923955,2.5816946874999998,2.65193839375,2.309157265625,2.365913796875,774.6853241491148,794.949806397522,866.1181837953023,890.5692147299862,75651219.0,75821677.5,73893032.5,75709241.5,1.0,1.0,1.8490341987636778,1.8712435241669114,1.023932736870869,1.052346512932867,111366585344.0,111931768524.8,113491405312.0,116324661145.6,1.6967169484474147,1.7215809737007697,1.0,1.0,139718112576.0,140730732441.6,141704048000.0,145094395328.0,1.3714414180201904,1.3852018442457363,1.0,1.0,277270052864.0,279279593062.4,279295492096.0,283577820774.4,0
all,4,12,length-sorted disjoint workload group,exploratory_low_n,0.10782923196936388,0.2582883407072848,19.0,20.0,23.0,23.0,83.24943225000001,176.161313825,5.62424625,5.6713401249999995,257.94267225,350.599643025,495.89738504661545,509.7083632573541,87.91198122895914,207.87976062899696,375466067.5,380046898.4,254502995.5,259083826.39999998,137099219.5,141680050.4,114218451.5,118799282.4,3.287266768418607,3.3607062098151115,2.2282147509202836,2.267650205703241,1.5642440536288582,1.6196547222627382,1.200324967873758,1.2067569914319867,3.569326609375,3.712477575,3.0220157968750003,3.1477214421874997,1120.6615043621364,1156.6436451474997,1323.63363825866,1370.725823460857,151298874.0,151635315.0,96704505.5,100727086.15,1.0,1.0,2.2282147509202836,2.267650205703241,1.5642440536288582,1.6196547222627382,142755081728.0,146219705139.2,147303046656.0,153578247782.40002,1.9452793436197342,1.9841929948530086,1.154134355267093,1.20753977537903,195955392192.0,202162842470.40002,200912233920.0,209537239756.8,1.5145167018521175,1.5369835704555057,1.0,1.0,388872716288.0,401191377305.6,394740252672.0,408565678080.0,0
all,8,6,length-sorted disjoint workload group,exploratory_low_n,0.27050790559296656,0.4449073887378253,32.0,33.0,39.625,40.1875,85.19436775,312.7447475,5.764965,5.79265725,262.07255975,492.65375812499997,975.8172715781855,992.2996072349152,118.14337886215787,341.1692081039937,690928182.0,699484773.0,449002038.0,457558629.0,214194486.0,222751077.0,168432950.0,176989541.0,4.1027074622458315,4.2061656661643525,2.6660894678041913,2.7216443746086565,2.2698808387925338,2.3565108690236505,1.2717434543613813,1.280804601780833,5.2635296875,5.530923156250001,4.167752296874999,4.39027928125,1520.1920738961553,1570.8821062276681,1919.9477073409712,1994.2297836945004,302690200.0,303231580.0,133368073.5,140488937.0,1.0,1.0,2.6660894678041913,2.7216443746086565,2.2698808387925338,2.3565108690236505,191133092864.0,195385998080.0,200955563008.0,212064104704.0,2.236008599327676,2.2828263117270184,1.5764972525285055,1.6432309379222534,282631776000.0,290251564512.0,292454342016.0,306699033696.0,1.6921583037889283,1.7183768147595462,1.0,1.0,560881664000.0,576003104768.0,570704134144.0,592450478080.0,0
all,16,3,length-sorted disjoint workload group,exploratory_low_n,0.5228892543859649,0.6087600287660921,49.0,50.800000000000004,63.0,63.9,122.045536,516.5112466,6.7371825,6.75298605,325.636236,723.9860369999999,1569.6280391749865,1765.6215380943045,186.69492932778203,536.1422297807443,1300718990.0,1316428263.1999998,816866702.0,832575975.1999999,347251598.0,362960871.2,255728526.0,271437799.2,5.086327326658896,5.1665657350975165,3.1942729064179565,3.2373592652963383,3.274328435656121,3.3359954349303407,1.3578915243894223,1.3649190197452967,7.9915164375,8.482431225,5.7798189375,6.203622524999999,2002.123142101089,2041.436481826047,2768.2528074003358,2822.8091726513485,605600816.0,606426800.0,184954206.0,198515920.8,1.0,1.0,3.1942729064179565,3.2373592652963383,3.274328435656121,3.3359954349303407,252283136000.0,261385559859.2,274337528832.0,295493753548.8,2.6278021740677873,2.6483502957244323,2.2106492569560108,2.2327791657527523,392190497664.0,408499007078.39996,413165273984.0,442499326092.8,1.949979100442644,1.9546742404605486,1.1648175735128874,1.16731564200702,778300522496.0,810664696217.6,796869525504.0,844424350924.7999,0
bfcl_v3,1,16,length-sorted disjoint workload group,exploratory_low_n,0.0,0.0,6.0,6.0,6.0,6.0,81.84642275,83.7221195,4.46783225,4.49867275,221.333632,224.17449075000002,144.57401834000922,145.8828244757062,82.65713938067711,86.39245306167388,130428888.0,130528237.5,100188120.0,100287469.5,70837176.0,70936525.5,65116984.0,65216333.5,2.0029948013703907,2.0088146062829493,1.5385873773662144,1.541712491734061,1.0,1.0,1.0878449790537497,1.0883546932017611,2.03490575,2.038010421875,1.89246771875,1.894837765625,491.4239469094716,494.2753988775827,528.411101959811,530.9265019266916,60558967.0,60634808.5,60558967.0,60634808.5,1.0,1.0,1.5385873773662144,1.541712491734061,1.0,1.0,91481169920.0,91481169920.0,93576118272.0,93694427136.0,1.47912661710533,1.4815982722416383,1.0,1.0,104090298144.0,104090298144.0,106185342976.0,106303651840.0,1.2525109212636205,1.2531958323564578,1.0,1.0,206566793216.0,206566793216.0,208661741568.0,208780050432.0,0
bfcl_v3,2,8,length-sorted disjoint workload group,exploratory_low_n,0.0007969334766296523,0.014284263943144308,11.0,11.0,12.0,12.0,87.12676450000001,94.128639875,5.09742175,5.110442950000001,245.87690650000002,253.18856289999997,260.324129633216,267.5026814089819,118.40599834185825,126.50165197126748,215226656.0,215567002.95,154745120.0,155085466.95,96043232.0,96383578.95,84602848.0,84943194.95,2.5439654860619694,2.561443143111502,1.8290773997491396,1.8384625385952758,1.0048801048504117,1.0134941835963236,1.1352246448311747,1.1367553849858867,2.643839,2.6544748421875,2.35789228125,2.3701583234375,756.4761173396969,765.0394111855637,848.2157329785861,856.4495289804602,75820719.0,75875531.75,75452553.0,75845066.35,1.0,1.0,1.8290773997491396,1.8384625385952758,1.0048801048504117,1.0134941835963236,111638793728.0,112382175180.79999,115924271104.0,116536564480.0,1.6820062399649838,1.6883936881191726,1.0,1.0,140205819264.0,141537711033.6,144386975744.0,145692196140.8,1.3668889339510404,1.3687612619370215,1.0,1.0,278237904896.0,280881038950.39996,282186317824.0,285035428249.6,0
bfcl_v3,4,4,length-sorted disjoint workload group,exploratory_low_n,0.0032672553068427384,0.14401704467339904,19.0,19.85,23.0,23.0,151.3043475,176.705509225,5.62813,5.67104975,327.21364124999997,350.970128825,392.86729955165333,454.22176709581686,185.66789821641984,209.46115851818823,379866242.5,380128255.2,258903170.5,259165183.2,141499394.5,141761407.2,118618626.5,118880639.19999999,3.202417707974602,3.217151503236978,2.182652567672588,2.1905643097256586,1.507224708846597,1.523063357596644,1.1928936592296353,1.1941840845981788,3.706832078125,3.715019975,3.142144328125,3.1489840296875,1079.0891451455354,1086.3080657330597,1273.0182265444819,1285.657554626193,151602954.0,151636107.0,100548618.5,100767488.95,1.0,1.0,2.182652567672588,2.1905643097256586,1.507224708846597,1.523063357596644,144955198976.0,146722589081.6,153299848704.0,153641280307.2,1.9107837187121195,1.9227366221367834,1.1162463082372067,1.1338630917630217,199897268928.0,203063842867.19998,208320805824.0,209872323686.40002,1.500702651706148,1.5085370120476793,1.0,1.0,396695355392.0,402979409100.8,405118795776.0,409787793408.0,0
bfcl_v3,8,2,length-sorted disjoint workload group,exploratory_low_n,0.12560777993087274,0.2335005671658584,32.0,32.0,39.0,39.0,282.0960775,337.2636835,5.792578000000001,5.79272065,462.12501675,517.076751225,563.3497921237556,630.3132309159271,313.25145717244965,363.50340884922895,699326418.0,699611457.0,457400274.0,457685313.0,222592722.0,222877761.0,176831186.0,177116225.0,3.9547780562868917,3.9595409434304862,2.5866544491162475,2.5892120205930436,2.1593094440310887,2.1609405567810973,1.2587873996040266,1.2592045460546293,5.5259745625,5.5348820312500004,4.3879680625,4.3921282562499995,1447.713081541468,1450.0466896475036,1823.1693494250362,1824.897880176545,303199120.0,303257548.0,140414978.0,140548104.2,1.0,1.0,2.5866544491162475,2.5892120205930436,2.1593094440310887,2.1609405567810973,195075905024.0,195634072524.8,211948738048.0,212156398028.80002,2.1814243230038586,2.1814332014551976,1.5079478639885147,1.5093643697733596,289695981120.0,290696031225.6,306568910016.0,306803132640.0,1.6675325122065665,1.6685320344683943,1.0,1.0,574900551680.0,576885147238.4,591773384704.0,592992152780.7999,0
bfcl_v3,16,1,length-sorted disjoint workload group,exploratory_low_n,0.1867233118730349,0.1867233118730349,49.0,49.0,63.0,63.0,560.34077,560.34077,6.754742,6.754742,768.247126,768.247126,665.9474015880392,665.9474015880392,574.9697076088512,574.9697076088512,1318173738.0,1318173738.0,834321450.0,834321450.0,364706346.0,364706346.0,273183274.0,273183274.0,4.825235889075698,4.825235889075698,3.0540722269841454,3.0540722269841454,3.0322475373279736,3.0322475373279736,1.3350244349147087,1.3350244349147087,8.5369773125,8.5369773125,6.2507118125,6.2507118125,1874.1996627509486,1874.1996627509486,2559.7084748018046,2559.7084748018046,606518576.0,606518576.0,200022778.0,200022778.0,1.0,1.0,3.0540722269841454,3.0540722269841454,3.0322475373279736,3.0322475373279736,262396940288.0,262396940288.0,297844445184.0,297844445184.0,2.5248287390211477,2.5248287390211477,2.0571088637271764,2.0571088637271764,410311063680.0,410311063680.0,445758665216.0,445758665216.0,1.8950401346191696,1.8950401346191696,1.0952309976294095,1.0952309976294095,814260715520.0,814260715520.0,849708220416.0,849708220416.0,0
