benchmark,batch_size,group_count,statistical_unit,gpu_energy_status,p95_status,padding_fraction_median,padding_fraction_p95,active_experts_median_median,active_experts_median_p95,active_experts_p95_median,active_experts_p95_p95,gpu_ttft_ms_median_median,gpu_ttft_ms_median_p95,gpu_itl_ms_median_median,gpu_itl_ms_median_p95,gpu_e2e_ms_median_median,gpu_e2e_ms_median_p95,gpu_batch_throughput_tokens_s_median_median,gpu_batch_throughput_tokens_s_median_p95,gpu_archived_batch_energy_joules_median_median,gpu_archived_batch_energy_joules_median_p95,A_original_cycles_median,A_original_cycles_p95,B_arlo_cycles_median,B_arlo_cycles_p95,C_fixed_cycles_median,C_fixed_cycles_p95,D_phased_cycles_median,D_phased_cycles_p95,D_speedup_vs_A_median,D_speedup_vs_A_p95,D_speedup_vs_B_median,D_speedup_vs_B_p95,D_speedup_vs_B_ideal_resource_overlap_median,D_speedup_vs_B_ideal_resource_overlap_p95,D_speedup_vs_C_median,D_speedup_vs_C_p95,D_tpot_ms_proxy_median,D_tpot_ms_proxy_p95,D_tpot_ms_ideal_resource_overlap_lower_bound_median,D_tpot_ms_ideal_resource_overlap_lower_bound_p95,D_aggregate_throughput_tokens_s_proxy_median,D_aggregate_throughput_tokens_s_proxy_p95,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_median,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_p95,B_ideal_resource_overlap_cycles_median,B_ideal_resource_overlap_cycles_p95,D_ideal_resource_overlap_cycles_median,D_ideal_resource_overlap_cycles_p95,D_vs_D_prime_pure_bank_speedup_median,D_vs_D_prime_pure_bank_speedup_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_p95,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_p95,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_p95,uniform_mxfp8_D_speedup_vs_B_serial_median,uniform_mxfp8_D_speedup_vs_B_serial_p95,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_median,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_p95,uniform_mxfp8_D_logical_weight_read_bytes_median,uniform_mxfp8_D_logical_weight_read_bytes_p95,uniform_mxfp8_D_physical_hbm_read_bytes_median,uniform_mxfp8_D_physical_hbm_read_bytes_p95,uniform_bf16_D_speedup_vs_B_serial_median,uniform_bf16_D_speedup_vs_B_serial_p95,uniform_bf16_D_speedup_vs_B_ideal_overlap_median,uniform_bf16_D_speedup_vs_B_ideal_overlap_p95,uniform_bf16_D_logical_weight_read_bytes_median,uniform_bf16_D_logical_weight_read_bytes_p95,uniform_bf16_D_physical_hbm_read_bytes_median,uniform_bf16_D_physical_hbm_read_bytes_p95,D_bank_stall_cycles_max
all,1,48,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,descriptive_at_least_20_groups,0.0,0.0,6.0,6.0,6.0,6.0,81.540761,84.273451075,4.45059225,4.487375775,220.80467249999998,223.58550150000002,144.92021881305797,146.86337039514075,63.23397809366813,85.52117156929634,129603821.0,130544311.39999999,99363053.0,100303543.4,70012109.0,70952599.4,64291917.0,65232407.4,2.0158649367958827,2.018004755856775,1.5454983727928038,1.54664741118709,1.0,1.0,1.0889721800874206,1.0891595911889795,2.0091224062500004,2.03851273125,1.8723709375,1.894813721875,497.7297550147712,498.7781735381164,534.0822066935023,535.0039482803691,59915870.0,60634039.1,59915870.0,60634039.1,1.0,1.0,1.5454983727928038,1.54664741118709,1.0,1.0,91481341952.0,91481341952.0,92572680192.0,93693021388.8,1.4376673287832644,1.4384066875147976,1.0,1.0,116193917952.0,116193917952.0,117285339136.0,118405680332.79999,1.2540198352517962,1.254268717933943,1.0,1.0,206566965248.0,206566965248.0,207658303488.0,208778644684.8,0
all,2,24,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,descriptive_at_least_20_groups,0.018003123921572467,0.1294270067627168,11.0,11.0,12.0,12.0,80.81871525,93.74949885,5.092428999999999,5.1081243249999995,239.206621,252.76246425,267.44205644975955,270.9414215880314,75.1271850399225,125.70723076581724,213273654.0,215521452.60000002,152792118.0,155039916.6,94090230.0,96338028.60000001,82649846.0,84897644.60000001,2.580449071031617,2.6217727086713802,1.8486683271586064,1.8708582623299783,1.0243988899967014,1.0528256609617814,1.1384199752088453,1.1420392104012211,2.5828076875,2.6530513937499998,2.309175265625,2.365931796875,774.3514914679527,794.5982814631185,866.1114323911008,890.5620766901916,75686259.0,75856717.5,73893608.5,75709817.5,1.0,1.0,1.8486683271586064,1.8708582623299783,1.0243988899967014,1.0528256609617814,111366757376.0,111931940556.79999,113491921408.0,116325177241.59999,1.631405174908198,1.6538994126382316,1.0,1.0,155964501504.0,157094867865.6,157955444736.0,161451144192.0,1.3713713751256869,1.3851265146035543,1.0,1.0,277270224896.0,279279765094.4,279296008192.0,283578336870.39996,0
all,4,12,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.10782923196936388,0.2582883407072848,19.0,20.0,23.0,23.0,83.24943225000001,176.161313825,5.62424625,5.6713401249999995,257.94267225,350.599643025,495.89738504661545,509.7083632573541,87.91198122895914,207.87976062899696,375537139.5,380117970.4,254574067.5,259154898.39999998,137170291.5,141751122.4,114289523.5,118870354.4,3.285844405446561,3.3591908209276804,2.227450971545026,2.2668364733434556,1.5649518405829086,1.6203870789079269,1.2002003935037657,1.2066242696024287,3.571547609375,3.714698575,3.0220477968750004,3.1477534421874998,1119.9646082020508,1155.9011703239548,1323.6196222126732,1370.7107889512372,151368922.0,151705363.0,96705529.5,100728110.15,1.0,1.0,2.227450971545026,2.2668364733434556,1.5649518405829086,1.6203870789079269,142755253760.0,146219877171.2,147303906816.0,153579107942.40002,1.8598494193500354,1.8956529460387879,1.0384047463462585,1.0864800006431286,218740999680.0,225670246502.4,223806088192.0,233045316812.8,1.5143826167459646,1.5368374671694962,1.0,1.0,388872888320.0,401191549337.6,394741112832.0,408566538240.0,0
all,8,6,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.27050790559296656,0.4449073887378253,32.0,33.0,39.625,40.1875,85.19436775,312.7447475,5.764965,5.79265725,262.07255975,492.65375812499997,975.8172715781855,992.2996072349152,118.14337886215787,341.1692081039937,691070870.0,699627461.0,449144726.0,457701317.0,214337174.0,222893765.0,168575638.0,177132229.0,4.100080194451733,4.2033605914195755,2.6646786795638837,2.7201381077286673,2.2709046476307413,2.3575730159290442,1.271513351190332,1.2805589257994,5.2679886875,5.53538215625,4.167811296875,4.39033828125,1518.9048266370469,1569.5077412752569,1919.9205156659054,1994.2004493157688,302831000.0,303372380.0,133369961.5,140490825.0,1.0,1.0,2.6646786795638837,2.7201381077286673,2.2709046476307413,2.3575730159290442,191133264896.0,195386170112.0,200957111296.0,212065652992.0,2.130386435549684,2.173178862577843,1.4212521633123836,1.4807132846900486,315496032768.0,324001843200.0,325319960576.0,340450674176.0,1.6919147136334054,1.7181144126062893,1.0,1.0,560881836032.0,576003276800.0,570705682432.0,592452026368.0,0
all,16,3,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.5228892543859649,0.6087600287660921,49.0,50.800000000000004,63.0,63.9,122.045536,516.5112466,6.7371825,6.75298605,325.636236,723.9860369999999,1569.6280391749865,1765.6215380943045,186.69492932778203,536.1422297807443,1301004206.0,1316713479.2,817151918.0,832861191.2,347536814.0,363246087.2,256013742.0,271723015.2,5.081774891599373,5.161832672087282,3.191828343339476,3.2348177087597456,3.2757861907286188,3.3374806757537745,1.3574928098976813,1.3645044853724106,8.0004294375,8.491344224999999,5.7799329375,6.203736524999999,1999.8926463877083,2039.11748625171,2768.198208009053,2822.752397644186,605882384.0,606708368.0,184957854.0,198519568.79999998,1.0,1.0,3.191828343339476,3.2348177087597456,3.2757861907286188,3.3374806757537745,252283308032.0,261385731891.19998,274340453376.0,295496678092.8,2.5001389746373754,2.5168971368296433,1.999601447613607,2.0164094693556622,437794140672.0,455998988390.39996,458487519232.0,489973631180.80005,1.9495206182006117,1.954211214910637,1.1653509669185016,1.1678506196533338,778300694528.0,810664868249.6,796872450048.0,844427275468.7999,0
bfcl_v3,1,16,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.0,0.0,6.0,6.0,6.0,6.0,81.84642275,83.7221195,4.46783225,4.49867275,221.333632,224.17449075000002,144.57401834000922,145.8828244757062,82.65713938067711,86.39245306167388,130446392.0,130545741.5,100205624.0,100304973.5,70854680.0,70954029.5,65134488.0,65233837.5,2.0027252595160547,2.008541928170229,1.538442638988489,1.5415660692507194,1.0,1.0,1.0878213718540752,1.0883308113201526,2.03545275,2.038557421875,1.89247871875,1.894848765625,491.29188309245677,494.14179842999715,528.408030573518,530.9234012323452,60559319.0,60635160.5,60559319.0,60635160.5,1.0,1.0,1.538442638988489,1.5415660692507194,1.0,1.0,91481341952.0,91481341952.0,93576462336.0,93694771200.0,1.4331136275686993,1.4351323890887993,1.0,1.0,116193917952.0,116193917952.0,118289121280.0,118407430144.0,1.252479101774017,1.2531638400391534,1.0,1.0,206566965248.0,206566965248.0,208662085632.0,208780394496.0,0
bfcl_v3,2,8,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.0007969334766296523,0.014284263943144308,11.0,11.0,12.0,12.0,87.12676450000001,94.128639875,5.09742175,5.110442950000001,245.87690650000002,253.18856289999997,260.324129633216,267.5026814089819,118.40599834185825,126.50165197126748,215262272.0,215602618.95000002,154780736.0,155121082.95,96078848.0,96419194.95,84638464.0,84978810.95,2.543315782245375,2.5607786502898398,1.8287285222931784,1.8381057197507427,1.0053368282764867,1.0139552740997602,1.135167742025615,1.1366971869195353,2.644952,2.6555878421875,2.35791028125,2.3701763234374997,756.1577906510272,764.7138385258968,848.2092577943454,856.4429274791614,75855759.0,75888170.15,75453129.0,75845642.35,1.0,1.0,1.8287285222931784,1.8381057197507427,1.0053368282764867,1.0139552740997602,111638965760.0,112382347212.8,115924787200.0,116537080576.0,1.6190031615672953,1.6242712188735466,1.0,1.0,156508918272.0,157995681177.6,160662927360.0,162150496972.8,1.3668205972193403,1.3686922261004544,1.0,1.0,278238076928.0,280881210982.4,282186833920.0,285035944345.6,0
bfcl_v3,4,4,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.0032672553068427384,0.14401704467339904,19.0,19.85,23.0,23.0,151.3043475,176.705509225,5.62813,5.67104975,327.21364124999997,350.970128825,392.86729955165333,454.22176709581686,185.66789821641984,209.46115851818823,379937314.5,380199327.2,258974242.5,259236255.20000002,141570466.5,141832479.2,118689698.5,118951711.2,3.2010988874711113,3.2158149762573047,2.1819443884524947,2.1898466224955975,1.5079060112980607,1.5237512613137763,1.1927781533871857,1.1940670279749803,3.7090530781249997,3.7172409749999997,3.142176328125,3.1490160296875,1078.4429803037983,1085.6532254860272,1273.0052620505853,1285.6443312699828,151673002.0,151706155.0,100549642.5,100768512.95,1.0,1.0,2.1819443884524947,2.1898466224955975,1.5079060112980607,1.5237512613137763,144955371008.0,146722761113.6,153300708864.0,153642140467.2,1.830107314723146,1.841406518464722,1.0063610175153204,1.0225593818128147,223141234176.0,226676014387.2,231565444096.0,233485168230.4,1.5005756683120106,1.5084060241169615,1.0,1.0,396695527424.0,402979581132.8,405119655936.0,409788653568.0,0
bfcl_v3,8,2,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.12560777993087274,0.2335005671658584,32.0,32.0,39.0,39.0,282.0960775,337.2636835,5.792578000000001,5.79272065,462.12501675,517.076751225,563.3497921237556,630.3132309159271,313.25145717244965,363.50340884922895,699469106.0,699754145.0,457542962.0,457828001.0,222735410.0,223020449.0,176973874.0,177258913.0,3.9523957042290134,3.9571509141372156,2.585375175539692,2.5879286245005293,2.1602831402527825,2.161915154211746,1.2585787468110738,1.2589952208687774,5.5304335625,5.539341031249999,4.3880270625,4.392187256250001,1446.5458323696769,1448.8756789633771,1823.144835622177,1824.8733198914101,303339920.0,303398348.0,140416866.0,140549992.2,1.0,1.0,2.585375175539692,2.5879286245005293,2.1602831402527825,2.161915154211746,195076077056.0,195634244556.80002,211950286336.0,212157946316.8,2.082352802191295,2.082656604323683,1.3623203833856707,1.3639573952070432,323381657088.0,324497992089.6,340255947776.0,340606455296.0,1.6673059714920284,1.6683048154544933,1.0,1.0,574900723712.0,576885319270.4,591774932992.0,592993701068.7999,0
bfcl_v3,16,1,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.1867233118730349,0.1867233118730349,49.0,49.0,63.0,63.0,560.34077,560.34077,6.754742,6.754742,768.247126,768.247126,665.9474015880392,665.9474015880392,574.9697076088512,574.9697076088512,1318458954.0,1318458954.0,834606666.0,834606666.0,364991562.0,364991562.0,273468490.0,273468490.0,4.821246330792992,4.821246330792992,3.051929917044556,3.051929917044556,3.0335998904464754,3.0335998904464754,1.3346750186831398,1.3346750186831398,8.5458903125,8.5458903125,6.2508258125,6.2508258125,1872.244952242944,1872.244952242944,2559.661791887438,2559.661791887438,606800144.0,606800144.0,200026426.0,200026426.0,1.0,1.0,3.051929917044556,3.051929917044556,3.0335998904464754,3.0335998904464754,262397112320.0,262397112320.0,297847369728.0,297847369728.0,2.4068208801648483,2.4068208801648483,1.8646240773865763,1.8646240773865763,458021749248.0,458021749248.0,493472088064.0,493472088064.0,1.8946331372901024,1.8946331372901024,1.0957322256578652,1.0957322256578652,814260887552.0,814260887552.0,849711144960.0,849711144960.0,0
