state_mode,model,case,phase,batch,tokens,weight_precision,weight_precision_policy,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_C_fixed,speedup_vs_D_phased,bank_stall_cycles,matrix_sram_service_cycles,matrix_sram_ideal_cycles,recurrence_cycles,recurrence_coefficient_prep_cycles,recurrence_coefficient_prep_elementwise_ops,recurrence_coefficient_prep_exp_ops,recurrence_issue_cycles,recurrence_vector_arithmetic_cycles,vector_cycle_share,lcompute_cycle_share,physical_hbm_read_bytes,physical_hbm_write_bytes
plena_bf16_matrix_streamed,nemotron3,decode_b1_t1,decode,1,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,4055638,4055.638,1.0,0.7669851204668662,0.5408266220999014,0.4967506961913267,0,0,0,2125177,0,0,0,2125177,0,0.5247564008424815,0.0,2899482624,27704960
plena_bf16_matrix_streamed,nemotron3,decode_b1_t1,decode,1,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,3110614,3110.614,1.3038062581856829,1.0,0.7051331344872749,0.6476666664523467,0,0,0,1180153,0,0,0,1180153,0,0.3803744212557392,0.0,2899482624,27704960
plena_bf16_matrix_streamed,nemotron3,decode_b1_t1,decode,1,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,2193397,2193.397,1.8490214037859996,1.4181719041286187,1.0,0.9185026696033596,5888,65412,59524,262936,0,0,0,167808,29716,0.0013882575748941025,0.11987615557056018,2899482624,27704960
plena_bf16_matrix_streamed,nemotron3,decode_b1_t1,decode,1,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,2014641,2014.641,2.0130822315241277,1.5440041178552406,1.0887284632845255,1.0,0,48208,48208,84180,0,0,0,6256,29716,0.0015114355361575587,0.04178411935426709,2899482624,27704960
plena_bf16_matrix_streamed,nemotron3,decode_b1_t1,decode,1,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,2014641,2014.641,2.0130822315241277,1.5440041178552406,1.0887284632845255,1.0,0,48208,48208,84180,0,0,0,6256,29716,0.0015114355361575587,0.04178411935426709,2899482624,27704960
plena_bf16_matrix_streamed,nemotron3,decode_b2_t1,decode,2,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,6774710,6774.71,1.0,0.7210141836329526,0.4502374271371026,0.3974658693877672,0,0,0,4250354,0,0,0,4250354,0,0.6282494748852718,0.0,3714709760,55409920
plena_bf16_matrix_streamed,nemotron3,decode_b2_t1,decode,2,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,4884662,4884.662,1.3869352679878362,1.0,0.6244501666645512,0.5512594320753411,0,0,0,2360306,0,0,0,2360306,0,0.4844060858253857,0.0,3714709760,55409920
plena_bf16_matrix_streamed,nemotron3,decode_b2_t1,decode,2,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,3050228,3050.228,2.221050360825486,1.6014088127182624,1.0,0.8827917126195156,11776,130824,119048,525872,0,0,0,335616,59432,0.0019192007941701407,0.17240416126269906,3714709760,55409920
plena_bf16_matrix_streamed,nemotron3,decode_b2_t1,decode,2,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,2692716,2692.716,2.5159392969774754,1.814027918280279,1.1327700359042692,1.0,0,96416,96416,168360,0,0,0,12512,59432,0.002174013152519612,0.06252423203932386,3714709760,55409920
plena_bf16_matrix_streamed,nemotron3,decode_b2_t1,decode,2,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,2692716,2692.716,2.5159392969774754,1.814027918280279,1.1327700359042692,1.0,0,96416,96416,168360,0,0,0,12512,59432,0.002174013152519612,0.06252423203932386,3714709760,55409920
plena_bf16_matrix_streamed,nemotron3,decode_b4_t1,decode,4,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,12212949,12212.949,1.0,0.6904845832075447,0.39007654907917816,0.3315301652369137,0,0,0,8500708,0,0,0,8500708,0,0.6969817036000069,0.0,5345164032,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b4_t1,decode,4,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,8432853,8432.853,1.4482582585039725,1.0,0.56493158365265,0.4801412997475469,0,0,0,4720612,0,0,0,4720612,0,0.5611512497609054,0.0,5345164032,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b4_t1,decode,4,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,4763985,4763.985,2.5635993816101434,1.7701258505221993,1.0,0.8499105265864607,23552,261648,238096,1051744,0,0,0,671232,118864,0.0024126860181129875,0.22076979671430536,5345164032,110819840
