state_mode,model,batch,weight_precision,weight_precision_policy,A_original_cycles,B_arlo_cycles,C_fixed_l_tile_cycles,D_compact_phased_l_tile_cycles,E_static_overlap_cycles,D_speedup_vs_A,D_speedup_vs_B,D_speedup_vs_C_single_base,A_ideal_overlap_cycles,B_ideal_overlap_cycles,C_ideal_overlap_cycles,D_ideal_overlap_cycles,D_speedup_vs_A_ideal_overlap,D_speedup_vs_B_ideal_overlap,D_speedup_vs_C_ideal_overlap,A_hbm_cycles,A_matrix_cycles,A_vector_cycles,A_lcompute_cycles,B_hbm_cycles,B_matrix_cycles,B_vector_cycles,B_lcompute_cycles,C_hbm_cycles,C_matrix_cycles,C_vector_cycles,C_lcompute_cycles,D_hbm_cycles,D_matrix_cycles,D_vector_cycles,D_lcompute_cycles,uniform_bf16_A_cycles,uniform_bf16_B_cycles,uniform_bf16_C_cycles,uniform_bf16_D_cycles,uniform_bf16_A_ideal_overlap_cycles,uniform_bf16_B_ideal_overlap_cycles,uniform_bf16_C_ideal_overlap_cycles,uniform_bf16_D_ideal_overlap_cycles,uniform_bf16_D_speedup_vs_A_serial,uniform_bf16_D_speedup_vs_B_serial,uniform_bf16_D_speedup_vs_C_serial,uniform_bf16_D_speedup_vs_A_ideal_overlap,uniform_bf16_D_speedup_vs_B_ideal_overlap,uniform_bf16_D_speedup_vs_C_ideal_overlap,uniform_bf16_D_logical_weight_read_bytes,D_prime_fixed_phased_bank_service_cycles,D_prime_fixed_phased_bank_stall,D_vs_D_prime_pure_bank_speedup,E_speedup_vs_D,C_bank_stall,D_bank_stall,coefficient_prep_cycles_all_variants,whole_model_evidence
plena_bf16_matrix_streamed,nemotron3,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,4055638,3110614,2193397,2014641,2014641,2.0130822315241277,1.5440041178552406,1.0887284632845255,2128222,1876594,1876594,1876594,1.1340876076551454,1.0,1.0,1876594,50822,2128222,0,1876594,50822,1183198,0,1876594,50822,3045,262936,1876594,50822,3045,84180,6361033,5416009,4498792,4320036,4181989,4181989,4181989,4181989,1.4724490721836578,1.2536953395758739,1.0413783588840464,1.0,1.0,1.0,6455217664,1,0,1.0,1.0,5888,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,nemotron3,2,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,6774710,4884662,3050228,2692716,2692716,2.5159392969774754,1.814027918280279,1.1327700359042692,4256208,2416927,2416927,2416927,1.760999815054406,1.0,1.0,2416927,101575,4256208,0,2416927,101575,2366160,0,2416927,101575,5854,525872,2416927,101575,5854,168360,10348940,8458892,6624458,6266946,5991157,5991157,5991157,5991157,1.6513529875636395,1.3497630265204137,1.0570472443834684,1.0,1.0,1.0,9209111296,1,0,1.0,1.0,11776,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,nemotron3,4,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,12212949,8432853,4763985,4048961,4048961,3.016316778551337,2.082720233659944,1.1765944399069292,8512202,4732106,3497643,3497643,2.433696635134003,1.352941395105218,1.0,3497643,203104,8512202,0,3497643,203104,4732106,0,3497643,203104,11494,1051744,3497643,203104,11494,336720,18324792,14544696,10875828,10160804,9609486,9609486,9609486,9609486,1.8034785436270595,1.4314512906655812,1.0703708092391113,1.0,1.0,1.0,14716898560,1,0,1.0,1.0,23552,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,nemotron3,8,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,23089287,15529095,8191359,6761311,6761311,3.414912729202961,2.2967579808117096,1.2115045440152066,17024161,9463969,5658941,5658941,3.0083651693841658,1.6723922373461748,1.0,5658941,406185,17024161,0,5658941,406185,9463969,0,5658941,406185,22745,2103488,5658941,406185,22745,673440,34276425,26716233,19378497,17948449,17024161,16846079,16846079,16846079,1.9097151514317476,1.4884981426528832,1.0796752967345535,1.0105711245922568,1.0,1.0,25732473088,1,0,1.0,1.0,47104,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,nemotron3,16,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,44842090,29721706,15046234,12186138,12186138,3.6797622019379723,2.4389766470722716,1.2347007723037438,34048033,18927649,9981687,9981687,3.4110499557840273,1.8962374796965684,1.0,9981687,812370,34048033,0,9981687,812370,18927649,0,9981687,812370,45201,4206976,9981687,812370,45201,1346880,66179778,51059394,36383922,33523826,34048033,31319375,31319375,31319375,1.9741117257916803,1.5230777656464392,1.085315321705822,1.0871236415158347,1.0,1.0,47763622144,1,0,1.0,1.0,94208,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,nemotron3,32,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,83051970,52811202,23460258,17740066,17740066,4.68160434126908,2.9769450688627654,1.3224447981196914,68096066,37855298,13331164,13331164,5.108036027461668,2.8396093544419676,1.0,13331164,1624740,68096066,0,13331164,1624740,37855298,0,13331164,1624740,90402,8413952,13331164,1624740,90402,2693760,111156689,80915921,51564977,45844785,68096066,41435883,41435883,41435883,2.424631045821242,1.7649972837695715,1.1247730139862147,1.6434081059645815,1.0,1.0,62451112192,1,0,1.0,1.0,188416,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,nemotron3,64,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,154175915,93694379,34992491,23552107,23552107,6.546162303016032,3.9781739697429193,1.4857477931804572,136192132,75710596,17008708,14734303,9.243201527754655,5.138390054826482,1.1543612208870688,14734303,3249480,136192132,0,14734303,3249480,75710596,0,14734303,3249480,180804,16827904,14734303,3249480,180804,5387520,182280634,121799098,63097210,51656826,136192132,75710596,42839022,42839022,3.5286843601269657,2.3578509837209123,1.221468969076807,3.179160626029231,1.7673278348884809,1.0,62451284224,1,0,1.0,1.0,376832,0,0,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,kimi_k3,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,103826433,97023585,93134469,91183632,91183632,1.1386520883484879,1.0640460669520162,1.0213945963459758,88142659,88142659,88420867,88142590,1.0000007828224697,1.0000007828224697,1.003157123020778,88142659,1668241,14015533,0,88142659,1668241,7212685,0,88420867,1668241,81121,2964240,88142590,1668241,81121,1291680,149602880,142800032,138910916,136960079,133919106,133919106,134197314,133919037,1.0923101176073358,1.042639819154894,1.0142438367022262,1.00000051523668,1.00000051523668,1.0020779495300582,208376561664,1,0,1.0,1.0,0,0,4485,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,kimi_k3,2,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,136409445,122803749,115025655,111123981,111123981,1.2275428199427088,1.105105737707507,1.035110999128082,105043436,105043436,105599990,105043436,1.0,1.0,1.0052983224958483,105043436,3336341,28029668,0,105043436,3336341,14423972,0,105599990,3336341,160844,5928480,105043436,3336341,160844,2583360,227962246,214356550,206578456,202676782,196596237,196596237,197152791,196596237,1.1247575758332298,1.0576275579508658,1.0192507200948158,1.0,1.0,1.0028309494041843,305617319936,1,0,1.0,1.0,0,0,8625,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
plena_bf16_matrix_streamed,kimi_k3,4,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,201576264,174364872,158808684,151005336,151005336,1.334894973512724,1.1546934473891703,1.0516759752118958,138845199,138845199,139958307,138845199,1.0,1.0,1.0080168994536138,138845199,6672586,56058479,0,138845199,6672586,28847087,0,139958307,6672586,320831,11856960,138845199,6672586,320831,5166720,384681867,357470475,341914287,334110939,321950802,321950802,323063910,321950802,1.151359689543119,1.0699155079145732,1.0233555597531634,1.0,1.0,1.0034573853926911,500098836480,1,0,1.0,1.0,0,0,16905,"formula-based analytic timeline with official dimensions, Compiler-emitted recurrence and symbolic weights"
