model,variant,batch,tokens,issued_instructions,issue_cycles,bank_service_cycles,arithmetic_cycles,scalar_control_cycles,dma_memory_wait_cycles,total_cycles,physical_hbm_bytes_read,physical_hbm_bytes_written,common_budget_passed,max_output_relative_l2
nemotron3_mamba2,A,1,2,20368,20368,10308,2576,15212,1233095.0,1281559.0,10567680,2113536,True,0.0077334437519311905
nemotron3_mamba2,B,1,2,19340,19340,10308,2576,14184,1235086.0,1281494.0,10567680,2113536,True,0.0077334437519311905
nemotron3_mamba2,D,1,2,596,596,4192,2584,540,1146047.0,1153959.0,4423680,2113536,True,0.0
nemotron3_mamba2,A,2,2,40991,40991,20616,5152,30679,2487042.0,2584480.0,21135360,4227072,True,0.008052772842347622
nemotron3_mamba2,B,2,2,38935,38935,20616,5152,28623,2485700.0,2579026.0,21135360,4227072,True,0.008052772842347622
nemotron3_mamba2,D,2,2,1196,1196,8384,5168,1084,2292709.0,2308541.0,8847360,4227072,True,0.0
nemotron3_mamba2,A,4,2,81984,81984,41232,10304,61360,5022463.0,5217343.0,42270720,8454144,True,0.008052772842347622
nemotron3_mamba2,B,4,2,77872,77872,41232,10304,57248,5017058.0,5203714.0,42270720,8454144,True,0.008052772842347622
nemotron3_mamba2,D,4,2,2396,2396,16768,10336,2172,4585844.0,4617516.0,17694720,8454144,True,0.0
nemotron3_mamba2,A,8,2,164732,164732,82464,20608,123484,10087940.0,10479228.0,84541440,16908288,True,0.008197249844670296
nemotron3_mamba2,B,8,2,156508,156508,82464,20608,115260,10093973.0,10468813.0,84541440,16908288,True,0.008197249844670296
nemotron3_mamba2,D,8,2,4796,4796,33536,20672,4348,9172804.0,9236156.0,35389440,16908288,True,0.0
nemotron3_mamba2,A,16,2,329720,329720,164928,41216,247224,20486900.0,21269988.0,169082880,33816576,True,0.008216927759349346
nemotron3_mamba2,B,16,2,313272,313272,164928,41216,230776,20491490.0,21241682.0,169082880,33816576,True,0.008216927759349346
nemotron3_mamba2,D,16,2,9596,9596,67072,41344,8700,18345173.0,18471885.0,70778880,33816576,True,0.0
