source_run,trial_id,weight_precision,act,kv,fp_setting,status,accuracy,correct,total,format_error_count,raw_output_count,runtime_sec,gpu,parallel_mode,model_lifecycle,trial_weight_reuse,visible_gpus,model_parallel,decode_weight_residency,server_port,returncode,gptq_cache_mode,gptq_cache_key,gptq_cache_hit,gptq_cache_path,log_dir,error_message,proxy_cost,act_bits_proxy,kv_bits_proxy,fp_bits_proxy,weight_bits_proxy
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E5M2__fp-FP_E6M5__a49457a8,MXFP_E1M2,MXFP_E4M3,MXFP_E5M2,FP_E6M5,success,0.98,49,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E5M2__fp-FP_E6M5__a49457a8,,28,8,8,12,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E5M2__fp-FP_E8M5__c63d600e,MXFP_E1M2,MXFP_E4M3,MXFP_E5M2,FP_E8M5,success,0.98,49,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E5M2__fp-FP_E8M5__c63d600e,,30,8,8,14,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E5M2__kv-MXFP_E4M3__fp-FP_E5M6__3192487b,MXFP_E1M2,MXFP_E5M2,MXFP_E4M3,FP_E5M6,success,0.98,49,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E5M2__kv-MXFP_E4M3__fp-FP_E5M6__3192487b,,28,8,8,12,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E1M2__kv-MXFP_E4M3__fp-FP_E5M6__cc96cef0,MXFP_E1M2,MXFP_E1M2,MXFP_E4M3,FP_E5M6,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E1M2__kv-MXFP_E4M3__fp-FP_E5M6__cc96cef0,,24,4,8,12,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E1M2__kv-MXFP_E4M3__fp-FP_E6M5__d61d7013,MXFP_E1M2,MXFP_E1M2,MXFP_E4M3,FP_E6M5,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E1M2__kv-MXFP_E4M3__fp-FP_E6M5__d61d7013,,24,4,8,12,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E1M2__kv-MXFP_E4M3__fp-FP_E8M5__c90f9ee7,MXFP_E1M2,MXFP_E1M2,MXFP_E4M3,FP_E8M5,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E1M2__kv-MXFP_E4M3__fp-FP_E8M5__c90f9ee7,,26,4,8,14,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E1M2__fp-FP_E6M5__c5555aa6,MXFP_E1M2,MXFP_E4M3,MXFP_E1M2,FP_E6M5,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E1M2__fp-FP_E6M5__c5555aa6,,24,8,4,12,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E1M2__fp-FP_E8M5__6b01bce6,MXFP_E1M2,MXFP_E4M3,MXFP_E1M2,FP_E8M5,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E1M2__fp-FP_E8M5__6b01bce6,,26,8,4,14,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E4M3__fp-FP_E6M5__2d573cd3,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,FP_E6M5,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E4M3__fp-FP_E6M5__2d573cd3,,28,8,8,12,4
qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436,w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E4M3__fp-FP_E8M5__c70dbe30,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,FP_E8M5,success,0.96,48,50,0,50,576.61,"0,2,4,5,6,7",pp,persistent,True,"0,2,4,5,6,7",True,gpu_dual,9000,0,require,75720b9058bd2942,True,/data/models/yh3525/gptq_cache_qwen3_235b_scratch_mxfp_e1m2/75720b9058bd2942,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_235b_mxfp_e1m2_gpu_dual_bs25_limit50_20260720_010436/trials/w-MXFP_E1M2__act-MXFP_E4M3__kv-MXFP_E4M3__fp-FP_E8M5__c70dbe30,,30,8,8,14,4
