source_run,trial_id,weight_precision,act,kv,fp_setting,status,accuracy,correct,total,format_error_count,raw_output_count,runtime_sec,gpu,parallel_mode,model_lifecycle,trial_weight_reuse,visible_gpus,model_parallel,decode_weight_residency,gptq_cache_mode,gptq_cache_key,gptq_cache_hit,gptq_cache_path,proxy_cost,weight_bits_proxy,act_bits_proxy,kv_bits_proxy,fp_bits_proxy,server_port,returncode,log_dir,error_message
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_2__fp-FP_E6M5__dba25f60,MXINT_8,MXINT_2,MXINT_2,FP_E6M5,success,0.0,0,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,16,,2,2,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_2__fp-FP_E6M5__dba25f60,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_4__fp-FP_E6M5__5c534760,MXINT_8,MXINT_2,MXINT_4,FP_E6M5,success,0.0,0,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,2,4,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_4__fp-FP_E6M5__5c534760,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_8__fp-FP_E6M5__49a4ff46,MXINT_8,MXINT_2,MXINT_8,FP_E6M5,success,0.0,0,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,2,8,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_8__fp-FP_E6M5__49a4ff46,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_2__fp-FP_E6M5__962d076e,MXINT_8,MXINT_4,MXINT_2,FP_E6M5,success,0.06,3,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,4,2,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_2__fp-FP_E6M5__962d076e,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_4__fp-FP_E6M5__422ae473,MXINT_8,MXINT_4,MXINT_4,FP_E6M5,success,0.98,49,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,20,,4,4,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_4__fp-FP_E6M5__422ae473,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_8__fp-FP_E6M5__3fa14481,MXINT_8,MXINT_4,MXINT_8,FP_E6M5,success,0.94,47,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,24,,4,8,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_8__fp-FP_E6M5__3fa14481,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_2__fp-FP_E6M5__09008338,MXINT_8,MXINT_8,MXINT_2,FP_E6M5,success,0.22,11,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,8,2,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_2__fp-FP_E6M5__09008338,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_4__fp-FP_E6M5__fc40fc3c,MXINT_8,MXINT_8,MXINT_4,FP_E6M5,success,0.9,45,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,24,,8,4,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_4__fp-FP_E6M5__fc40fc3c,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_8__fp-FP_E6M5__f15eb9cc,MXINT_8,MXINT_8,MXINT_8,FP_E6M5,success,0.9,45,50,0,50,225.58,4,multiworker,persistent,True,4,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,28,,8,8,12,9002,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_8__fp-FP_E6M5__f15eb9cc,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_2__fp-FP_E8M5__11a3a154,MXINT_8,MXINT_2,MXINT_2,FP_E8M5,success,0.0,0,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,2,2,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_2__fp-FP_E8M5__11a3a154,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_4__fp-FP_E8M5__bf13e24f,MXINT_8,MXINT_2,MXINT_4,FP_E8M5,success,0.0,0,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,20,,2,4,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_4__fp-FP_E8M5__bf13e24f,
